"","col1","col2"
"3210","Закупка завершена","Закупка автомобиля"
"3211","Закупка завершена","Поставка легкового автомобиля NISSAN Teana комплектации PREMIUM PLUS BDBALGZL33EQAA-ABA или эквивалента для нужд Управления Роспотребнадзора по Кемеровской области"
"3212","Закупка завершена","Приобретение автомобиля (грузо- пассажирский фургон) УАЗ 29891 - 03 (39625) или эквивалент"
"3213","Закупка завершена","Поставка автомобиля, оборудованного средствами управления для застрахованного лица, получившего повреждение здоровья вследствие несчастных случаев на производстве и профессиональных заболеваний без правой ноги в 2014 г."
"3214","Закупка завершена","Приобретение легкового автомобиля для нужд Территориального управления ФГБУК АУИПИК по Южному федеральному округу"
"3215","Работа комиссии","14-115э поставка седельного тягача с двигателем ЕВРО 4 – 5 с полуприцепом для нужд МЧС России"
"3216","Работа комиссии","Поставка грузового автомобиля"
"3217","Закупка завершена","Поставка легкового автомобиля для нужд Администрации Пустошкинского района"
"3218","Работа комиссии","Поставка автомобилей скорой медицинской помощи класса С с комплектом медицинского оборудования"
"3219","Закупка отменена","Поставка школьного автобуса"
"3220","Закупка отменена","Поставка автомобиля ТОЙОТА Камри (TOYOTA Camry) или эквивалент"
"3221","Закупка завершена","Средства транспортные с двигателем с искровым зажиганием, с рабочим объемом цилиндров более 1500 см3, новые"
"3222","Закупка завершена","Закупка легкового автомобиля"
"3223","Закупка завершена","Покупка легкового автомобиля"
"3224","Закупка отменена","Поставка легкового автомобиля"
"3225","Закупка завершена","Закупка автомобильного транспорта"
"3226","Закупка завершена","Поставка автотранспортного средства"
"3227","Закупка завершена","Поставка легкового автомобиля для нужд Государственного бюджетного учреждения Республики Дагестан «Туристический информационный центр «Дагестан»"
"3228","Закупка завершена","Поставка автотранспортного средства"
"3229","Работа комиссии","Поставка автотранспортных средств для нужд учреждений здравоохранения"
"3230","Закупка завершена","Поставка легкового автомобиля для нужд администрации муниципального района Шигонский Самарской области"
"3231","Закупка завершена","Автобус"
"3232","Работа комиссии","Легковой  автомобиль,  универсал 5 мест.  "
"3233","Закупка завершена","закупка легкового автомобиля в рамках «Программы обновления парка колесных транспортных средств»"
"3234","Закупка завершена","Поставка автомобиля легкового ""Рено Дастер"" в комплектации Expression или ""эквивалент"" для нужд Районного комитета образования Сортавальского муниципального района. Закупка для СМП, СОНКО. Установлен запрет на допуск отдельных видов товаров машиностроения, происходящих из иностранных государств. "
"3235","Работа комиссии","Поставка автомобиля легкового для перевозки инвалидов - колясочников"
"3236","Закупка завершена","Покупка легкового автомобиля для нужд Администрации Вышестеблиевского сельского поселения"
"3237","Закупка завершена","поставка автотранспорта"
"3238","Закупка завершена","поставка автомобиля"
"3239","Закупка завершена","Аукцион в электронной форме на поставку легкового автомобиля для нужд МБУ «Городская реклама»"
"3240","Закупка отменена","Определение поставщика транспортных средств"
"3241","Закупка завершена","Автомобили грузовые с бензиновым двигателем, имеющие технически допустимую максимальную массу не более 3,5 т"
"3242","Закупка завершена","поставка легкового автомобиля"
"3243","Работа комиссии","Автомобиль УАЗ-3163 Patriot комплектация ""Comfort"""
"3244","Работа комиссии","4399-2/2015 сб. Поставка легковых автомобилей"
"3245","Закупка завершена","Поставка автомобиля для нужд Администрации городского поселения Селятино"
"3246","Работа комиссии","аукцион в электронной форме на право заключить контракт на поставку полноприводного легкового автомобиля для нужд бюджетного учреждения Чувашской Республики «Канашская районная станция по борьбе с болезнями животных» Государственной ветеринарной службы Чувашской Республики"
"3247","Закупка завершена","Поставка легкового автомобиля."
"3248","Закупка завершена","Приобретение легкового автомобиля для нужд Территориального управления ФГБУК АУИПИК по Южному федеральному округу"
"3249","Закупка завершена","приобретение автомобиля"
"3250","Закупка завершена","Поставка автобуса"
"3251","Работа комиссии","5211-2/2015 сб. Поставка микроавтобуса"
"3252","Закупка завершена","645ЭА-2-15.Поставка автомобиля для нужд ГБУЗ НО «Детский санаторий «Светлана»"
"3253","Закупка завершена","Приобретение дорожной техники, седельный тягач с полуприцепом тяжеловоз"
"3254","Закупка завершена","Поставка пассажирского автомобиля (автобуса)"
"3255","Закупка завершена","Поставка легкового автомобиля"
"3256","Закупка завершена","Поставка автобуса"
"3257","Работа комиссии","АЭ-1628/15 на поставку легкового автомобиля"
"3258","Закупка завершена","Приобретение автомобиля Toyota  Land Cruiser  Prado  (или Эквивалент) для нужд администрации Вологодского муниципального района"
"3259","Закупка завершена","Поставка легкового автомобиля"
"3260","Закупка завершена","автомобиль для нужд Администрации Пудомягского сельского поселения"
"3261","Работа комиссии","Поставка автомобилей Renault Logan Privilege (или эквивалент)"
"3262","Закупка завершена","Поставка легкового автомобиля согласно документации о закупке"
"3263","Работа комиссии","Легковой автомобиль"
"3264","Закупка завершена","Услуги по торговле легковыми автомобилями и грузовыми автомобилями малой грузоподъемности"
"3265","Закупка завершена","Поставка легковых автомобилей для нужд комитета по образованию города Барнаула"
"3266","Закупка завершена","Закупка автобусов для обеспечения государственных нужд в 2014 году"
"3267","Закупка завершена","поставка легкового автомобиля"
"3268","Закупка завершена","Поставка легковых автомобилей повышенной проходимости в количестве 2 (двух) единиц для нужд СПб ГБУ ""ЦОО ""Молодежный"" в 2014г."
"3269","Закупка завершена","Приобретение легкового автомобиля"
"3270","Работа комиссии","Закупка автомобиля скорой медицинской помощи, оснащенного медицинским оборудованием по классу ""С"" (неонатальный) для нужд ГБУЗ ВО «Гороховецкая ЦРБ"", ГБУЗ ВО ""ССМП г.Вязники"""
"3271","Закупка завершена","право заключения контракта на поставку автомобиля УАЗ- 29891 (или 3962) остекленный фургон"
"3272","Работа комиссии","Поставка двух легковых автотранспортных средств в город Мурманск"
"3273","Закупка завершена","Поставка легкового автомобиля (идентификационный номер: 056-А-МЗ-19)"
"3274","Закупка завершена","Поставка автомобиля легкового повышенной проходимости"
"3275","Закупка завершена","Поставка автомобиля Toyota Camry 2.5 «Элеганс плюс» (или эквивалент)"
"3276","Закупка завершена","Поставка пассажирского автобуса Ford Transit 460 EF (Форд Транзит 460 EF) или эквивалента"
"3277","Закупка завершена","АЭ-1383/15 на поставку автомобиля"
"3278","Закупка завершена","закупка автотранспортных средств"
"3279","Закупка завершена","Поставка легкового автомобиля"
"3280","Закупка завершена","поставка автомобиля-самосвала"
"3281","Закупка завершена","Поставка автомобиля для нужд администрации Бековского района Пензенской области"
"3282","Закупка завершена","Закупка автомобиля"
"3283","Закупка завершена","Приобретение грузопассажирских автомобилей повышенной проходимости для нужд ФГБУ «Западно-Сибирское УГМС»"
"3284","Закупка отменена","Приобретение автомобиля Соболь ГАЗ-22174 или его эквивалент для нужд МУК ""КДЦ Узуновское"""
"3285","Закупка завершена","Поставка автомобиля Ford Focus или эквивалент для нужд ГБОУ ВПО ЧГМА"
"3286","Работа комиссии","Право заключения договора на поставку легкового автомобиля (СМП)"
"3287","Работа комиссии","Государственное казенное учреждение Саратовской области ""Государственное агентство по централизации закупок"" объявляет аукцион в электронной форме на определение поставщика товара «Автомобиль» для нужд ГУЗ «Саратовская городская клиническая больница № 1 им. Ю.Я. Гордеева»"
"3288","Закупка завершена","автомобиль Volkswagen Multivan Comfortline 2.0 biTDI (или эквивалент)"
"3289","Работа комиссии","Поставка автомобиля"
"3290","Закупка завершена","Поставка автомобилей"
"3291","Закупка завершена","Закупка транспортного средства в количестве 1(одна) единица путем проведения электронного аукциона для нужд МО «Ходоринский наслег»"
"3292","Закупка завершена","приобретение легкового автомобиля Chevrolet Orlando (или эквивалент)"
"3293","Закупка завершена","право заключения муниципального контракта с администрацией Георгиевского муниципального района Ставропольского края на поставку автотранспортного средства для перевозки людей для обеспечения муниципальных нужд Георгиевского муниципального района Ставропольского края"
"3294","Закупка завершена","Приобретение автотранспортного средства"
"3295","Работа комиссии","Приобретение автомобиля для нужд МБУЗ ""ЦРБ"" Морозовского района РО"
"3296","Закупка завершена","Поставка легкового автомобиля для нужд МБУ ""Ресурсный центр""."
"3297","Закупка завершена","Приобретение автомобиля для нужд ГБУЗ ""Самарское областное бюро судебно-медицинской экспертизы"""
"3298","Закупка завершена","Поставка автомобиля ГАЗ - 22177 ""Соболь-Баргузин"" (пассажирский микроавтобус) или эквивалент."
"3299","Работа комиссии","Поставка автомобиля"
"3300","Закупка завершена","Приобретение автомобиля легкового Renault Logan Authentique (или эквивалента)"
"3301","Закупка завершена","Поставка автобуса"
"3302","Закупка завершена","Поставка автомобиля легкового для нужд Главного управления ""Государственная жилищная инспекция Челябинской области"""
"3303","Работа комиссии","4492-2/2014сб. Поставка легкового автомобиля."
"3304","Закупка завершена","Поставка легкового автомобиля для нужд администрации Солнечного сельского поселения"
"3305","Закупка завершена","Поставка легковых автомобилей для нужд судов Красноярского края"
"3306","Закупка завершена","Легковые автомобили"
"3307","Закупка завершена","1252ЭА-2-16. Поставка автомобиля"
"3308","Закупка завершена","Приобретение автомобиля для нужд Добрянского муниципального района"
"3309","Закупка завершена","Покупка легкового автомобиля"
"3310","Работа комиссии","«Поставка автотранспортного средства «Седельный тягач КАМАЗ 65225-22» (или эквивалент), в целях реализации государственной программы Магаданской области «Развитие лесного хозяйства в Магаданской области на 2014-2020 годы»."
"3311","Закупка завершена","Поставка автомобиля УАЗ Патриот ""Лимитед""или эквивалент"
"3312","Закупка завершена","Поставка трех автомобилей легковых"
"3313","Закупка завершена","Приобретение автоподъемника для нужд с/п Стрелковское"
"3314","Закупка завершена","Поставка автомобиля повышенной проходимости для оснащения его оборудованием мониторинга скважин подземных вод"
"3315","Закупка завершена","Приобретение автомобиля"
"3316","Закупка завершена","Поставка пассажирских транспортных средств"
"3317","Закупка завершена","поставка автомобиля в 2014 году"
"3318","Закупка завершена","Поставка легкового автомобиля"
"3319","Закупка завершена","Поставка легкового автомобиля для нужд Управления Федеральной службы по надзору в сфере природопользования (Росприроднадзора) по Республике Северная Осетия-Алания)"
"3320","Закупка завершена","поставка автомобиля"
"3321","Закупка завершена","Поставка легкового автомобиля для Управления Федеральной миграционной службы по Смоленской области"
"3322","Закупка завершена","Поставка легкового автомобиля"
"3323","Закупка завершена","Поставка легкового автомобиля отечественного производства, изготовленного под иностранной маркой."
"3324","Закупка завершена","248ЭА-2-15. Поставка автомобиля для нужд ГБУЗ НО «Шарангская ЦРБ»"
"3325","Закупка завершена","Поставка легкового автомобиля для нужд Управления городского хозяйства Администрации городского округа город Салават республики Башкортостан"
"3326","Закупка завершена","Поставка легкового автомобиля для нужд ГБУЗ СО ""Тольяттинский ПНД"""
"3327","Закупка завершена","Поставка легкового автомобиля"
"3328","Закупка завершена","автомобиль ГАЗ 32212-244"
"3329","Закупка завершена","Поставка транспортного средства"
"3330","Закупка завершена","Право заключения муниципального контракта на поставку автомобиля."
"3331","Закупка отменена","Поставка нового автомобиля Toyota Camry 3,5 (или эквивалент) для нужд Верховного суда Карачаево-Черкесской Республики."
"3332","Закупка отменена","«Приобретение автомобиля Toyota Land Cruiser Prado (или эквивалент)»."
"3333","Закупка завершена","Поставка автомобилей с адаптированными органами управления, предназначенных для застрахованных лиц с ограниченными физическими возможностями, получивших повреждение здоровья вследствие несчастного случая на производстве"
"3334","Закупка завершена","Легковой автомобиль"
"3335","Работа комиссии","На поставку автомобиля с пробегом для нужд Департамента жилищной политики Мэрии г.Грозный"
"3336","Закупка завершена","Поставка автомобиля"
"3337","Закупка завершена","Поставка оперативно-служебного автомобиля"
"3338","Закупка завершена","Поставка грузового фургона Гуран (174505 изотермический с рефрижератором) или эквивалент"
"3339","Закупка завершена","Поставка автомобиля"
"3340","Закупка завершена","Поставка служебного легкового автомобиля в количестве 1 единицы для нужд МКУ ЦБ сельских поселений муниципального района Баймакский район Республики Башкортостан у субъектов малого предпринимательства и социально-ориентированных некоммерческих организаций."
"3341","Закупка завершена","Поставка легкового автомобиля для МУ ""Управление административными зданиями и транспортом"" городского округа Шуя"
"3342","Закупка завершена","Аукцион в электронной форме на поставку легкового автомобиля"
"3343","Закупка завершена","Поставка легкового автомобиля"
"3344","Закупка завершена","Поставка автомобиля санитарного"
"3345","Работа комиссии","Поставка легкового автомобиля для нужд государственного бюджетного учреждения здравоохранения Самарской области ""Кинель-Черкасская центральная районная больница"""
"3346","Закупка завершена","Поставка автомобиля для нужд ГБУ ""Торопецкая СББЖ"""
"3347","Закупка завершена","поставка легкового автомобиля"
"3348","Закупка завершена","Поставка легкового автомобиля категории «В» для нужд Филиала федерального бюджетного учреждения здравоохранения «Центр гигиены и эпидемиологии в Липецкой области» в Грязинском районе."
"3349","Закупка завершена","Поставка легкового автомобиля"
"3350","Закупка завершена","Поставка автомобиля ГАЗЕЛЬ ГАЗ- 3221 или эквивалент"
"3351","Работа комиссии","Поставка легкового автомобиля для нужд ГБУ ""Шалинского социально- реабилитационного центра для несовершеннолетних"" на 100 мест."
"3352","Закупка завершена","Поставка легковых автомобилей «Chevrolet Niva» («Шевроле Нива») в комплектации «L» (или эквивалент) для нужд Муниципального казённого учреждения «Администрация Шегарского района»"
"3353","Закупка завершена","Поставка автомобиля"
"3354","Закупка завершена","Поставка автомобиля"
"3355","Закупка завершена","Поставка легкового автомобиля"
"3356","Закупка завершена","Приобретение школьного пассажирского автобуса"
"3357","Закупка завершена","поставка легковых автомобилей"
"3358","Закупка завершена","Поставка легкового автомобиля для нужд Государственного бюджетного учреждения ветеринарии Тверской области «Вышневолоцкая станция по борьбе с болезнями животных»"
"3359","Закупка завершена","Электронный аукцион на право заключения государственного контракта на приобретение автомобилей"
"3360","Закупка завершена","Поставка легкового автомобиля."
"3361","Работа комиссии","Закупка автобусов для обеспечения государственных нужд в 2015 году"
"3362","Закупка завершена","легковые автомобили"
"3363","Закупка завершена","Право заключения договора на техническое обслуживание и ремонт легковых автомобилей (СМП и СОНО)"
"3364","Закупка завершена","Поставка автомобиля для нужд Управления Роспотребнадзора по РСО-Алания"
"3365","Работа комиссии","Приобретение транспортных средств для нужд Государственного бюджетного учреждения здравоохранения Самарской области «Сызранская центральная городская больница»"
"3366","Закупка завершена","Поставка легкового автомобиля"
"3367","",""
"3368","Работа комиссии","Поставка малого лесопатрульного комплекса, модель - УАЗ 390945-903-05 или эквивалент для нужд ФГБУ «Центрально-Черноземный государственный заповедник»"
"3369","Работа комиссии","Поставка автобуса"
"3370","Закупка завершена","Приобретение легкового автомобиля NISSAN Terrano (или эквивалент)"
"3371","Закупка завершена","Приобретение служебного транспорта для нужд ТГПБЗ."
"3372","Закупка завершена","Автомобиль УАЗ 3163-105 Патриот Классик (бензин)"
"3373","Закупка завершена","Поставка бортового автотранспорта с максимальной разрешенной массой 3,5 тонны"
"3374","Закупка завершена","Приобретение легкового транспортного средства УАЗ 3163 Патриот «Классик» или эквивалент с комплектующими"
"3375","Закупка завершена","Поставка легкового автомобиля выпуска 2013г."
"3376","Закупка завершена","Поставка автомобиля УАЗ Пикап (или эквивалент)"
"3377","Закупка завершена","Покупка автомобиля LADA GRANTA седан (или эквивалент) для нужд МКУХЭУ."
"3378","Закупка завершена","электронный аукцион на поставку грузовых автомобилей"
"3379","Закупка завершена","Покупка автомобиля"
"3380","Работа комиссии","Поставка автомобиля"
"3381","Закупка завершена","Электронный аукцион на право заключения контракта на поставку шести легковых автомобилей эконом-класса российской сборки для выполнения производственных задач ГУП МО «МОБТИ»"
"3382","Закупка завершена","Приобретение и поставка школьного автобуса ПАЗ-320608-110-70 вездеход 4х4, северное исполнение"
"3383","Закупка завершена","Поставка микроавтобуса"
"3384","Закупка отменена","поставка автомобиля Mitsubishi Outlander III 2.0 CVT 4 WD (или эквивалент) для нужд муниципального образования «Городенское сельское поселение» Конаковского района Тверской области"
"3385","Закупка завершена","Поставка автомобиля"
"3386","Закупка отменена","Покупка легкового автомобиля"
"3387","Закупка завершена","Поставка автомобиля легкового для нужд ФКУ «Дирекция космодрома «Восточный»"
"3388","Закупка завершена","Поставка легковых автомобилей повышенной проходимости для обеспечения государственных нужд (идентификационный номер: 398-А-ГЗ)"
"3389","Закупка завершена","приобретение транспортного средства"
"3390","Работа комиссии","Аукцион в электронной форме на право заключить контракт на поставку Автомобиля «Скорая медицинская помощь» УАЗ-39623 Класса А для транспортировки пациентов или эквивалент для нужд бюджетного учреждения Чувашской Республики «Тарханский психоневрологический интернат» Министерства здравоохранения и социального развития Чувашской Республики"
"3391","Закупка завершена","Покупка легкового автомобиля UAZ Patriot (комплектация Limited)"
"3392","Закупка завершена","поставка автомобиля"
"3393","Закупка завершена","Поставка автобуса"
"3394","Закупка завершена","покупка автомобиля LADA Granta лифтбек"
"3395","Закупка завершена","Поставка спецтехники (спецавтомобиль для перевозки рабочих бригад и необходимого оборудования) для проведения работ по уборке автомобильных дорог местного назначения для нужд МБУ ""ДорСервис"""
"3396","Закупка завершена","Открытый аукцион в электронной форме на право заключения контракта на поставку автобусов ПАЗ 4234-05 или эквивалент для нужд ГБУ ""ДО ТЗФ ТиНАО"""
"3397","Закупка завершена","поставка легкового автомобиля"
"3398","Работа комиссии","Поставка автобуса со специальным оборудованием и конструктивными особенностями для доступности инвалидов и других малоподвижных групп населения"
"3399","Закупка завершена","Поставка автотранспортных средств"
"3400","Закупка завершена","Поставка автотранспорта"
"3401","Работа комиссии","Поставка специального грузового автомобиля – жилого модуля повышенной проходимости на базе КАМАЗ – 43118 (или эквивалент) для нужд ФГБУ «Верхнеобьрыбвод»"
"3402","Закупка завершена","Поставка легкового автомобиля полноприводного"
"3403","Закупка завершена","618ЭА-2-16. Поставка микроавтобуса для нужд ГБУЗ НО «Городская больница № 35» г. Нижнего Новгорода"
"3404","Закупка завершена","Поставка легкового автомобиля для Администрации Байрамгуловского сельского поселения."
"3405","Закупка завершена","Поставка легкового автомобиля"
"3406","Закупка завершена","Поставка автомобиля"
"3407","Работа комиссии","Покупка Автомобиля LADA Largus"
"3408","Работа комиссии","Поставка грузовых автомобилей"
"3409","Закупка завершена","Поставка легкового автомобиля (реестровый номер торгов: 729Э-2/14сб)"
"3410","Закупка завершена","Приобретение автомобилей для администраций сельских поселений."
"3411","Закупка завершена","Поставка грузовых автомобилей"
"3412","Работа комиссии","Легковой автомобиль"
"3413","Закупка завершена","Поставка транспортного средства (грузовой автомобиль   самосвал)"
"3414","Работа комиссии","Закупка автомобилей легковых с колесной формулой 4х2 для обеспечения государственных нужд в 2015 году"
"3415","Закупка отменена","Закупка и поставка легкового автотранспортного средства для нужд Комитета по физической культуре и спорту Администрации города Тынды"
"3416","Закупка завершена","приобретение легкового автомобиля (внедорожник) Chevrolet Niva"
"3417","Закупка завершена","Определение поставщика (подрядчика, исполнителя) на поставку легкового автомобиля Niva Chevrolet L («или эквивалент») для ГБУЗ НО «Балахнинская ЦРБ» в 2014 году."
"3418","Закупка завершена","Поставка автомобиля"
"3419","Закупка завершена","Закупка автомобиля УАЗ 396255 или эквивалент для нужд МЛПУ ""Нахабинская городская больница"""
"3420","Закупка завершена","Поставка школьных автобусов для перевозки детей (Совместные торги)"
"3421","Закупка завершена","Поставка легкового автомобиля для нужд государственного бюджетного учреждения ""Комплексный центр социального обслуживания населения"" Конаковского района"
"3422","Закупка завершена","Открытый аукцион в электронной форме на право заключения договора на поставку автомобиля FORD RANGER XLT DC 2.2TD/150 6AT 4WD или эквивалент для нужд ГБУ ""ДО ТЗФ ТиНАО"""
"3423","Закупка завершена","Поставка легкового автомобиля для нужд Администрации сельского поселения Таптыковский сельсовет муниципального района Уфимский район Республики Башкортостан"
"3424","Закупка завершена","Закупка легковых автомобилей"
"3425","Работа комиссии","Приобретение автомобиля для нужд администрации Петинского сельского поселения Хохольского муниципального района Воронежской области           "
"3426","Закупка завершена","Поставка автобуса"
"3427","Закупка завершена","Поставка автомобиля УАЗ ""Патриот"""
"3428","Закупка завершена","Поставка автомобиля"
"3429","Закупка завершена","Оказание автотранспортных услуг"
"3430","Закупка завершена","поставка автомобиля (грузопассажирский микроавтобус) - 3 единицы"
"3431","Закупка завершена","поставка микроавтобуса для нужд МО ""Бордонский наслег"" Нюрбинского района Республики Саха (Якутия)"
"3432","Закупка завершена","Поставка автобуса для перевозки детей для нужд МБОУ СОШ с. Сторожевое Усманского района Липецкой области."
"3433","Закупка завершена","приобретение легкового автомобиля по программе утилизации"
"3434","Закупка отменена","закупка легкового автомобиля"
"3435","Закупка завершена","Приобретение автомобиля повышенной проходимости для нужд Камского БВУ"
"3436","Закупка завершена","Поставка легкового автомобиля"
"3437","Закупка завершена","Поставка автомобиля"
"3438","Работа комиссии","Поставка автомобиля УАЗ 29891-03 (39625) грузопассажирского фургона или эквивалента"
"3439","Закупка завершена","Поставка в государственную собственность Республики Коми движимого имущества – автотранспорта. (ЭА-1125)"
"3440","Закупка завершена","Закупка легковых автомобилей повышенной проходимости"
"3441","Закупка завершена","Поставка легкового автомобиля для нужд МКУ ""Управление ЖКХ и энергетики"" городского округа Красноуральск"
"3442","Закупка завершена","поставка автомобиля Рено Логан II (или эквивалента)"
"3443","Закупка завершена","Закупка легкового автомобиля LADA Largus универсал Comfort 5 мест"
"3444","Закупка завершена","Поставка легкового автомобиля для нужд администрации сельского поселения Октябрьский сельсовет Усманского муниципального района Липецкой области."
"3445","Закупка завершена","Поставка автомобиля легкового Renault Logan или эквивалента МУ «Хозяйственно-эксплуатационная контора»"
"3446","Закупка завершена","Электронный аукцион на право заключения контракта на поставку пассажирского автомобиля с трансформируемым салоном"
"3447","Закупка завершена","Поставка школьных микроавтобусов для нужд общеобразовательных организаций, расположенных на территории Новосибирской области"
"3448","Закупка завершена","Поставка легкового грузопассажирского автомобиля"
"3449","Закупка завершена","Поставка транспортного средства Территориальному органу Федеральной службы государственной статистики по Республике Крым (Крымстату) для государственных нужд"
"3450","Закупка завершена","Приобретение легкового автомобиля Renault Duster для нужд администрации Коленовского сельского поселения (или эквивалент)."
"3451","Закупка завершена","Приобретение микроавтобуса для муниципальных нужд"
"3452","Закупка завершена","Размещение заказа на приобретение легкового автомобиля для нужд МБУЗ ЦРБ Егорлыкского района Ростовской области"
"3453","Закупка завершена","Государственное казенное учреждение Саратовской области ""Государственное агентство по централизации закупок"" объявляет аукцион в электронной форме  «Поставка легкового автомобиля» для нужд государственного учреждения здравоохранения Саратовской области «Хвалынская районная больница имени Бржозовского»   "
"3454","Закупка завершена","Поставка легковых автомобилей для нужд СПб ГБУЗ «Городская поликлиника №106"" в 2016 году"
"3455","Закупка завершена","Приобретение автомобиля Chevrolet Niva GLC для нужд Управления Роспотребнадзора по Белгородской области"
