"","Название","ИНН","name","text"
"295","Общество с ограниченной ответственностью «МИЦ МГТУ ИМ. Н.Э. Баумана»","NA",0,"NA"
"296","Общество с ограниченной ответственностью «МОБИУСТЕХ»","NA",0,"NA"
"297","Общество с ограниченной ответственностью «Мовиком»","7731564929",1,"NA"
"298","Общество с ограниченной ответственностью «МОЗАИКА-СИНТЕЗ»","7734609335",1,"NA"
"299","Общество с ограниченной ответственностью «МОЗАЙКА-СИНТЕЗ»","NA",0,"NA"
"300","Общество с ограниченной ответственностью «Мой Транзит»","7717296851",1,"NA"
"301","Общество с ограниченной ответственностью «Монетный двор универс»","7735123795",1,"NA"
"302","Общество с ограниченной ответственностью «Монолит-Москва»","7707525502",1,"NA"
"303","Общество с ограниченной ответственностью «МОНОЛИТ-ЭКСПО»","7733799041",1,"NA"
"304","Общество с ограниченной ответственностью «Московское производственное объединение «Металлпластизделие»","7733088915",1,"NA"
"305","Общество с ограниченной ответственностью «МОСПРЕСС»","5075029260",1,"NA"
"306","Общество с ограниченной ответственностью «МОССВАИ»","5001089561",1,"NA"
"307","Общество с ограниченной ответственностью «МСН Телеком»","7727752084",1,"NA"
"308","Общество с ограниченной ответственностью «МСС»","9718026629",10,"7743819770, 7725257888, 7719881329, 9703009490, 7717703120, 7728353029, 7716911159, 9701049709, 7704480035"
"309","Общество с ограниченной ответственностью «МУВ ИТ»","7722468320",1,"NA"
"310","Общество с ограниченной ответственностью «МУЛЬТИПАС»","7735586095",1,"NA"
"311","Общество с ограниченной ответственностью «МФ Холдинг»","7723851180",1,"NA"
"312","Общество с ограниченной ответственностью «Мэйн Роад Пост»","7734647242",1,"NA"
"313","Общество с ограниченной ответственностью «Нанотехнологический центр композитов»","7727770372",1,"NA"
"314","Общество с ограниченной ответственностью «НАУМЕДИА»","7735573850",1,"NA"
"315","Общество с ограниченной ответственностью «Наумен консалтинг»","7725507256",1,"NA"
"316","Общество с ограниченной ответственностью «Научно- издательский центр ИНФРА-М»","NA",0,"NA"
"317","Общество с ограниченной ответственностью «Научно-внедренческое предприятие «АСТРАФАРМ»","7736221234",1,"NA"
"318","Общество с ограниченной ответственностью «Научно-исследовательский центр «ТОПАЗ»"," ИНН",1,"NA"
"319","Общество с ограниченной ответственностью «Научно-производственная инновационная фирма «ГИПЕРИОН»","7730006287",1,"NA"
"320","Общество с ограниченной ответственностью «Научно-Производственная Компания «Полистом»","7718250049",1,"NA"
"321","Общество с ограниченной ответственностью «Научно-производственная фирма ТермИКС»","7703016494",1,"NA"
"322","Общество с ограниченной ответственностью «Научно-Производственное Объединение «Перспектива»","9717056187",1,"NA"
"323","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ «ДОЗА»","7735542228",1,"NA"
"324","Общество с ограниченной ответственностью «Научно-производственное предприятие «ИТЭЛМА»","7724685256",1,"NA"
"325","Общество с ограниченной ответственностью «Научно-производственное предприятие «ЭЛЕМЕР»","5044003551",1,"NA"
"326","Общество с ограниченной ответственностью «Научно-производственный центр «Трезор»","7719848032",1,"NA"
"327","Общество с ограниченной ответственностью «Научно-производственный центр неразрушающего контроля «ЭХО плюс»","NA",0,"NA"
"328","Общество с ограниченной ответственностью «Научно-промышленная компания «ТЕХНОВОТУМ»","7735535277",1,"NA"
"329","Общество с ограниченной ответственностью «Научно-технический центр «Бакор»","7751042279",1,"NA"
"330","Общество с ограниченной ответственностью «НАУЧНО-ТЕХНИЧЕСКИЙ ЦЕНТР Т8»","7743543384",1,"NA"
"331","Общество с ограниченной ответственностью «Научно-Технологический Центр «БИОИНВЕСТ»","7727559027",1,"NA"
"332","Общество с ограниченной ответственностью «Научные развлечения»","7724614449",1,"NA"
"333","Общество с ограниченной ответственностью «НАУЧНЫЙ ЦЕНТР «БИОФОРМ»","7751524924",1,"NA"
"334","Общество с ограниченной ответственностью «НАШ ОБЩИЙ ДОМ»","7716831055",1,"NA"
"335","Общество с ограниченной ответственностью «Наяда Нейлс»","7722313164",1,"NA"
"336","Общество с ограниченной ответственностью «НГТ-СИНТЕЗ»","NA",0,"NA"
"337","Общество с ограниченной ответственностью «Не по Годам»","9731022983",1,"NA"
"338","Общество с ограниченной ответственностью «НЕВИДИМЫЕ ДРУЗЬЯ»","7733906857",1,"NA"
"339","Общество с ограниченной ответственностью «НЕВРОКОР»","7721675556",1,"NA"
"340","Общество с ограниченной ответственностью «Некст-Т»","NA",0,"NA"
"341","Общество с ограниченной ответственностью «НЕОТЭК»","7718763019",5,"7708649420, 9715304540, 7722391934, 7705299008"
"342","Общество с ограниченной ответственностью «Нетканика»","7720427342",1,"NA"
"343","Общество с ограниченной ответственностью «НЕФТЕГАЗБРОКЕР»","7720729061",1,"NA"
"344","Общество с ограниченной ответственностью «НИБС»","7701642538",1,"NA"
"345","Общество с ограниченной ответственностью «НИИКЭУ»","7743877500",1,"NA"
"346","Общество с ограниченной ответственностью «НИКА»","7716903221",20,"7718872113, 7720412515, 7707403663, 7731294278, 5032294240, 7728804828, 7717723743, 7727755173, 7728361950, 7724367158, 7715981467, 7725473127, 7724949646, 7743642882, 7714395170, 7709426793, 7716812408, 7728743879, 7727304124"
"347","Общество с ограниченной ответственностью «НоваПродукт АГ»","7707288097",1,"NA"
"348","Общество с ограниченной ответственностью «Новолабсистем»","7730661623",1,"NA"
"349","Общество с ограниченной ответственностью «НОВЫЙ ПОЛЮС»","7718884609",1,"NA"
"350","Общество с ограниченной ответственностью «НОРД Инжиниринг»","7707806158",1,"NA"
"351","Общество с ограниченной ответственностью «Нпк Пожхимзащита»","7725403923",1,"NA"
