Index_1,коробка_передач,марка,модель,привод,ширина,объем_двигателя_куб_см,длина,максимальная_скорость,масса_авто_снаряженная,год_выпуска,мощность_л_с,потребление_топлива_городской_цикл_л_100км,,1_коробка_передач_1,2_коробка_передач_2,1_привод_1,2_привод_2,1_ширина_1,2_ширина_2,1_объем_1,2_объем_2,1_длина_1,2_длина_2,1_скорость_1,2_скорость_2,1_масса_1,2_масса_2,1_выпуска_1,2_выпуска_2,1_мощность_1,2_мощность_2,1_топлива_1,2_топлива_2
390,автоматическая,kia,rio,передний,1700,,4377,190,,2017,,,,*************************,*************************,**************************************************Привод ,**************************************************Передний,"**************************************************Габариты (длина/ширина/высота), мм.",**************************************************Не менее 4377/1700/1470,**************************************************nan*************************Объем и мощность двигателя (л/л/с.)*************************nan,**************************************************nan*************************Объем и мощность двигателя (л/л/с.)*************************nan*************************nan,"**************************************************Габариты (длина/ширина/высота), мм.",**************************************************Не менее 4377/1700/1470,"**************************************************Максимальная скорость, км/ч
",**************************************************Не менее 190,**************************************************Полная масса,**************************************************Не менее 1565,**************************************************Год выпуска,**************************************************Не ранее 2017 года,**************************************************Объем и мощность двигателя (л/л/с.),"**************************************************Не менее 1,6/ не менее 123
","**************************************************nan*************************Расход топлива, (л/100 км)",**************************************************nan*************************nan*************************Не более 6.6
395,5МКПП,,logan,передний,1733,,4346,,,2016,,,,**************************************************Коробка передач,"**************************************************Механическая коробка передач, 5-ти ступенчатая",**************************************************Тип привода,**************************************************передний,"**************************************************Габаритные размеры, мм:
Длина
Ширина 
Высота","**************************************************
не менее 4346 
не менее 1733 
не менее 1517 ",*************************,*************************,"**************************************************Габаритные размеры, мм:
Длина
Ширина 
Высота","**************************************************
не менее 4346 
не менее 1733 
не менее 1517 ",*************************,*************************,"**************************************************Снаряженная масса, кг",**************************************************Не менее 1106 не более 1110,**************************************************Год выпуска,**************************************************Не ранее 2016г.,"**************************************************Мощность,  (л.с)",************************************************** не менее 82 ,**************************************************nan,**************************************************nan*************************nan
413,6АКПП,,,полный,1800,,4475,,,2016,,,,**************************************************Коробка передач,**************************************************Вариатор или 6-ступенчатая АКП,**************************************************Тип привода,**************************************************полный,"**************************************************Габаритные размеры, мм:
Длина
Ширина 
Высота","**************************************************
не менее 4475 не более 4695
не менее 1800 не более 1850
не менее 1645 не более 1680",**************************************************Объем багажного отделения (л.),**************************************************Не менее 477 не более 488,"**************************************************Габаритные размеры, мм:
Длина
Ширина 
Высота","**************************************************
не менее 4475 не более 4695
не менее 1800 не более 1850
не менее 1645 не более 1680",*************************,*************************,"**************************************************Снаряженная масса, кг",**************************************************Не менее 1500 не более 1571,**************************************************Год выпуска,**************************************************Не ранее 2016г.,"**************************************************Мощность,  (л.с)",************************************************** не менее 150 не более 167,**************************************************nan,**************************************************nan*************************nan
418,механическая,,,,2210,1610,4785,,,,,,,"**************************************************Раздаточная коробка, шт",**************************************************Не более 2,*************************,*************************,**************************************************Габаритные размеры(длина/ширина/высота),**************************************************Не более 4785/2210/2005,*************************,*************************,**************************************************Габаритные размеры(длина/ширина/высота),**************************************************Не более 4785/2210/2005,*************************,*************************,"**************************************************Масса снаряжённого автомобиля ,кг",**************************************************Не более 2125,*************************,*************************,"**************************************************Мощность, кВт/л.с.","**************************************************Не более 99/134,6 при 4600 об/мин",*************************,*************************
431,,,,,,,,,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
432,удалить,,,удалить,удалить,удалить,удалить,,,,,,,,,,,,,,,,,,,,,,,,,,
433,механическая,,,,,1610,,,,2016,,,,**************************************************Раздаточная коробка,**************************************************,**************************************************nan,**************************************************nan*************************nan,**************************************************ширина ,**************************************************мм,**************************************************Объем багажного отделения,**************************************************л,**************************************************длина,**************************************************мм,**************************************************Максимальная скорость,**************************************************Км/ч,**************************************************Снаряженная масса,**************************************************кг,**************************************************Год выпуска,************************************************** ,**************************************************Максимальная мощность двигателя при 4600об/мин,**************************************************л.с.,**************************************************Расход топлива: городской цикл,**************************************************л/100 км
440,,,,,,,,,,,,,,**************************************************Коробка передач: ,**************************************************,**************************************************Привод: ,**************************************************,"**************************************************Ширина, мм: ",**************************************************,"**************************************************Рабочий объем, куб.см.: ",**************************************************,"**************************************************Длина, мм: ",**************************************************,**************************************************Максимальная скорость: ,**************************************************,"**************************************************Максимальная разрешенная масса, кг: ",**************************************************,**************************************************Год выпуска:,**************************************************,**************************************************Максимальная мощность: ,**************************************************,**************************************************Расход топлива при смешанном цикле: ,**************************************************
446,5МКПП,,,,,1596,,,,,,,,**************************************************Коробка передач / число передач,**************************************************механическая /5,**************************************************nan*************************Электропривод и электрообогрев наружных зеркал,**************************************************nan*************************nan*************************Наличие,*************************,*************************,"**************************************************nan*************************Объем  багажного отделения, л.",**************************************************nan*************************nan*************************Не менее 480,*************************,*************************,"**************************************************Максимальная скорость, км/ч",**************************************************Не менее 175,"**************************************************Масса в снаряженном состоянии / полная, кг",**************************************************Не менее 1380/1670,*************************,*************************,"**************************************************Максимальная мощность, л.с. / кВт / об. мин.",**************************************************Не менее 106/ 78 /5800,"**************************************************nan*************************Расход топлива в городском цикле, л/100 км.","**************************************************nan*************************nan*************************Не более 9,3"
453,,,,,1978,1560,6283,120,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
466,,,,передний,1680,1596,4250,,,2016,,,,*************************,*************************,**************************************************Привод ,**************************************************передний,"**************************************************Ширина, мм",**************************************************не менее 1680 и не более 1710,"**************************************************nan*************************Рабочий объем двигателя, куб.см.",**************************************************nan*************************nan*************************не менее 1596 и не более 1800,"**************************************************Длина, мм",**************************************************не менее 4250 и не более 4300,*************************,*************************,**************************************************Масса:,**************************************************Масса:,*************************,*************************,"**************************************************Максимальная мощность, кВт/об.мин",**************************************************Не менее 64/5100 и не более 72/5600,"**************************************************Расход топлива, л/100 км:","**************************************************Расход топлива, л/100 км:"
471,,,,постоянный полный,,,,,,,,,,*************************,*************************,**************************************************Постоянный полный привод,**************************************************4х4,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************Год выпуска товара,**************************************************,*************************,*************************,**************************************************Расход топлива,**************************************************
474,механическая,,,передний,,,,,,,,,,*************************,*************************,"**************************************************Год выпуска: 2017 
Объем двигателя: 2, 5 (181 л. сил) 
Тип двигателя: Бензиновый 
Трансмиссия: 6-ступенчатая АКП 
Цвет: кузов черный металлик (218)/ салон темный тканевый                                                           Привод: Передний
Производство: Россия

Автомобили адаптированы к эксплуатации в российских условиях и обеспечиваются гарантией 3 года
или 100 000 км. пробега (в зависимости от того что наступит ранее).

",**************************************************1,*************************,*************************,"**************************************************nan*************************Год выпуска: 2017 
Объем двигателя: 2, 5 (181 л. сил) 
Тип двигателя: Бензиновый 
Трансмиссия: 6-ступенчатая АКП 
Цвет: кузов черный металлик (218)/ салон темный тканевый                                                           Привод: Передний
Производство: Россия

Автомобили адаптированы к эксплуатации в российских условиях и обеспечиваются гарантией 3 года
или 100 000 км. пробега (в зависимости от того что наступит ранее).

*************************nan","**************************************************nan*************************Год выпуска: 2017 
Объем двигателя: 2, 5 (181 л. сил) 
Тип двигателя: Бензиновый 
Трансмиссия: 6-ступенчатая АКП 
Цвет: кузов черный металлик (218)/ салон темный тканевый                                                           Привод: Передний
Производство: Россия

Автомобили адаптированы к эксплуатации в российских условиях и обеспечиваются гарантией 3 года
или 100 000 км. пробега (в зависимости от того что наступит ранее).

*************************nan*************************nan",*************************,*************************,*************************,*************************,*************************,*************************,"**************************************************Год выпуска: 2017 
Объем двигателя: 2, 5 (181 л. сил) 
Тип двигателя: Бензиновый 
Трансмиссия: 6-ступенчатая АКП 
Цвет: кузов черный металлик (218)/ салон темный тканевый                                                           Привод: Передний
Производство: Россия

Автомобили адаптированы к эксплуатации в российских условиях и обеспечиваются гарантией 3 года
или 100 000 км. пробега (в зависимости от того что наступит ранее).

*************************Год выпуска*************************Год выпуска",**************************************************1**************************************************,*************************,*************************,*************************,*************************
475,механическая,,,задних колес,1800,,4056,140,,,,,,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,"**************************************************Наименование и описание объекта закупки, количество поставляемого товара, объем выполняемых работ, оказываемых услуг","**************************************************Приобретение и поставка автомобиля Шевроле Нива 4х4 (ChevroletNiva) комплектация «LC»  или эквивалент
Описание объекта закупки указано в части III «ТЕХНИЧЕСКОЕ ЗАДАНИЕ» настоящей документации об аукционе",*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
483,механическая,,,передний,1642,1999,4470,,,2017,,,,*************************,*************************,**************************************************Тип привода,**************************************************,*************************,*************************,"**************************************************Срок и (или) объем предоставления гарантий качества товара, работ, услуг к обслуживанию товара, к расходам на эксплуатацию товара (при  необходимости)*************************Требования к сроку и объему гарантийного ремонта
поставляемого Товара*************************Требования к сроку и объему гарантийного ремонта
поставляемого Товара*************************Объем топливного бака, л.","**************************************************Срок гарантии Поставщика должен составлять – не менее срока, установленного заводом изготовителем поставляемого Товара – не менее 60 месяцев или 150 тысяч километров пробега (в зависимости от того, какое событие наступит раньше).*************************Поставщик гарантирует, что поставляемый Товар в точности соответствует настоящему Техническому заданию и свободен от дефектов материалов и изготовления.
Гарантийные обязательства подразумевают замену/ремонт за счет Поставщика Товара с обнаруженными и заявленными в течение гарантийного срока дефектами материалов и производства, не проистекающими из нарушения Заказчиком правил эксплуатации Товара.
Срок гарантии Поставщика должен составлять – не менее срока, установленного заводом изготовителем поставляемого Товара – не менее 60 месяцев или 150 тысяч километров пробега (в зависимости от того, какое событие наступит раньше).
Гарантийный ремонт должен производиться в авторизированном сервисном центре производителя.
Отсчет срока гарантийного ремонта поставленного по Контракту Товара начинается с момента подписания Акта приема-передачи товара.
Гарантийный ремонт осуществляется в авторизованных сервисных центрах Производителя на основе стандартных условий гарантийного ремонта Производителя. Информация о местах нахождений авторизованных сервисных центров и порядке обращения в них Заказчика должна находиться в сопроводительной документации к Товару.
Поставщик освобождается от гарантийных обязательств в случаях, если:
нарушаются правила и условия эксплуатации поставляемого Товара, изложенные в инструкциях по эксплуатации;
имеются механические повреждения Товара, возникшие по вине Заказчика.
Все затраты по гарантийному ремонту несет Поставщик*************************Поставщик гарантирует, что поставляемый Товар в точности соответствует настоящему Техническому заданию и свободен от дефектов материалов и изготовления.
Гарантийные обязательства подразумевают замену/ремонт за счет Поставщика Товара с обнаруженными и заявленными в течение гарантийного срока дефектами материалов и производства, не проистекающими из нарушения Заказчиком правил эксплуатации Товара.
Срок гарантии Поставщика должен составлять – не менее срока, установленного заводом изготовителем поставляемого Товара – не менее 60 месяцев или 150 тысяч километров пробега (в зависимости от того, какое событие наступит раньше).
Гарантийный ремонт должен производиться в авторизированном сервисном центре производителя.
Отсчет срока гарантийного ремонта поставленного по Контракту Товара начинается с момента подписания Акта приема-передачи товара.
Гарантийный ремонт осуществляется в авторизованных сервисных центрах Производителя на основе стандартных условий гарантийного ремонта Производителя. Информация о местах нахождений авторизованных сервисных центров и порядке обращения в них Заказчика должна находиться в сопроводительной документации к Товару.
Поставщик освобождается от гарантийных обязательств в случаях, если:
нарушаются правила и условия эксплуатации поставляемого Товара, изложенные в инструкциях по эксплуатации;
имеются механические повреждения Товара, возникшие по вине Заказчика.
Все затраты по гарантийному ремонту несет Поставщик*************************",*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************Расход топлива,**************************************************
491,мкпп,vaz,granta,передний,1700,1596,4260,,1560,,,,,*************************,*************************,*************************,*************************,**************************************************ширина,**************************************************Не более 1700,"**************************************************Объем багажника, л (SAE\VDA)",**************************************************Не менее 520,**************************************************длина,**************************************************Не менее 4260,"**************************************************Максимальная скорость, км\ч",**************************************************Не менее 180,"**************************************************Снаряженная масса, кг",**************************************************Не менее 1075 не более 1165 ,*************************,*************************,"**************************************************Максимальная мощность, кВт при 5800 об/мин",**************************************************Не менее 78,*************************,*************************
495,механическая,,,полный,2000,1998,4300,,,2017,,,,*************************,*************************,"**************************************************Тип топлива: бензин; 
Тип трансмиссии: механическая;
Тип привода: полный;
Подвеска передняя: независимая, пружинная с телескопическими гидравлическими амортизаторами и стабилизаторами поперечной устойчивости;
Иммобилайзер;
Антиблокировочная система тормозов;
Подушка безопасности водителя;
Кондиционер;
Легкосплавные диски;
Трехточечные ремни безопасности на передних сиденьях с ограничителями усилий; 
Защита картера двигателя;
Тормозная система передняя: дисковые, вентилируемые;


","**************************************************Объем двигателя, см3: не менее 1998;
Количество цилиндров: не менее 4;
Максимальная мощность, л.с.: 
не менее 140;
Объем топливного бака, л: не менее 50;
Количество передач (вперед): не менее 6;
Подвеска задняя: независимая многорычажная, с гидравлическими амортизаторами и стабилизаторами поперечной устойчивости;
Тормозная система задняя: дисковые, вентилируемые или барабанные; 
Размер колесных дисков: 16 -17 дюймов;
Расход топлива, загородный цикл, л/100 км: 5-7;
Расход топлива, городской цикл, л/100 км: 9-11;
Расход топлива, смешанный цикл, л/100 км: 7-9;
Длина, мм: 4300-4500;
Ширина, мм: не более 2000;
Высота, мм: не менее 1600;
Колесная база, мм: 2650-2700;
Экологический класс: не ниже Евро 5.
Окраска автомобиля металлизированной краской оттенков серебристого цвета.
Степень сжатия не менее: 11,1
Год выпуска: не ранее 2017","**************************************************Объем двигателя, см3: не менее 1998;
Количество цилиндров: не менее 4;
Максимальная мощность, л.с.: 
не менее 140;
Объем топливного бака, л: не менее 50;
Количество передач (вперед): не менее 6;
Подвеска задняя: независимая многорычажная, с гидравлическими амортизаторами и стабилизаторами поперечной устойчивости;
Тормозная система задняя: дисковые, вентилируемые или барабанные; 
Размер колесных дисков: 16 -17 дюймов;
Расход топлива, загородный цикл, л/100 км: 5-7;
Расход топлива, городской цикл, л/100 км: 9-11;
Расход топлива, смешанный цикл, л/100 км: 7-9;
Длина, мм: 4300-4500;
Ширина, мм: не более 2000;
Высота, мм: не менее 1600;
Колесная база, мм: 2650-2700;
Экологический класс: не ниже Евро 5.
Окраска автомобиля металлизированной краской оттенков серебристого цвета.
Степень сжатия не менее: 11,1
Год выпуска: не ранее 2017",**************************************************,"**************************************************Объем двигателя, см3: не менее 1998;
Количество цилиндров: не менее 4;
Максимальная мощность, л.с.: 
не менее 140;
Объем топливного бака, л: не менее 50;
Количество передач (вперед): не менее 6;
Подвеска задняя: независимая многорычажная, с гидравлическими амортизаторами и стабилизаторами поперечной устойчивости;
Тормозная система задняя: дисковые, вентилируемые или барабанные; 
Размер колесных дисков: 16 -17 дюймов;
Расход топлива, загородный цикл, л/100 км: 5-7;
Расход топлива, городской цикл, л/100 км: 9-11;
Расход топлива, смешанный цикл, л/100 км: 7-9;
Длина, мм: 4300-4500;
Ширина, мм: не более 2000;
Высота, мм: не менее 1600;
Колесная база, мм: 2650-2700;
Экологический класс: не ниже Евро 5.
Окраска автомобиля металлизированной краской оттенков серебристого цвета.
Степень сжатия не менее: 11,1
Год выпуска: не ранее 2017",**************************************************,"**************************************************Объем двигателя, см3: не менее 1998;
Количество цилиндров: не менее 4;
Максимальная мощность, л.с.: 
не менее 140;
Объем топливного бака, л: не менее 50;
Количество передач (вперед): не менее 6;
Подвеска задняя: независимая многорычажная, с гидравлическими амортизаторами и стабилизаторами поперечной устойчивости;
Тормозная система задняя: дисковые, вентилируемые или барабанные; 
Размер колесных дисков: 16 -17 дюймов;
Расход топлива, загородный цикл, л/100 км: 5-7;
Расход топлива, городской цикл, л/100 км: 9-11;
Расход топлива, смешанный цикл, л/100 км: 7-9;
Длина, мм: 4300-4500;
Ширина, мм: не более 2000;
Высота, мм: не менее 1600;
Колесная база, мм: 2650-2700;
Экологический класс: не ниже Евро 5.
Окраска автомобиля металлизированной краской оттенков серебристого цвета.
Степень сжатия не менее: 11,1
Год выпуска: не ранее 2017",**************************************************,*************************,*************************,*************************,*************************,"**************************************************Объем двигателя, см3: не менее 1998;
Количество цилиндров: не менее 4;
Максимальная мощность, л.с.: 
не менее 140;
Объем топливного бака, л: не менее 50;
Количество передач (вперед): не менее 6;
Подвеска задняя: независимая многорычажная, с гидравлическими амортизаторами и стабилизаторами поперечной устойчивости;
Тормозная система задняя: дисковые, вентилируемые или барабанные; 
Размер колесных дисков: 16 -17 дюймов;
Расход топлива, загородный цикл, л/100 км: 5-7;
Расход топлива, городской цикл, л/100 км: 9-11;
Расход топлива, смешанный цикл, л/100 км: 7-9;
Длина, мм: 4300-4500;
Ширина, мм: не более 2000;
Высота, мм: не менее 1600;
Колесная база, мм: 2650-2700;
Экологический класс: не ниже Евро 5.
Окраска автомобиля металлизированной краской оттенков серебристого цвета.
Степень сжатия не менее: 11,1
Год выпуска: не ранее 2017",**************************************************,"**************************************************Объем двигателя, см3: не менее 1998;
Количество цилиндров: не менее 4;
Максимальная мощность, л.с.: 
не менее 140;
Объем топливного бака, л: не менее 50;
Количество передач (вперед): не менее 6;
Подвеска задняя: независимая многорычажная, с гидравлическими амортизаторами и стабилизаторами поперечной устойчивости;
Тормозная система задняя: дисковые, вентилируемые или барабанные; 
Размер колесных дисков: 16 -17 дюймов;
Расход топлива, загородный цикл, л/100 км: 5-7;
Расход топлива, городской цикл, л/100 км: 9-11;
Расход топлива, смешанный цикл, л/100 км: 7-9;
Длина, мм: 4300-4500;
Ширина, мм: не более 2000;
Высота, мм: не менее 1600;
Колесная база, мм: 2650-2700;
Экологический класс: не ниже Евро 5.
Окраска автомобиля металлизированной краской оттенков серебристого цвета.
Степень сжатия не менее: 11,1
Год выпуска: не ранее 2017",**************************************************,"**************************************************Тип топлива: бензин; 
Тип трансмиссии: механическая;
Тип привода: полный;
Подвеска передняя: независимая, пружинная с телескопическими гидравлическими амортизаторами и стабилизаторами поперечной устойчивости;
Иммобилайзер;
Антиблокировочная система тормозов;
Подушка безопасности водителя;
Кондиционер;
Легкосплавные диски;
Трехточечные ремни безопасности на передних сиденьях с ограничителями усилий; 
Защита картера двигателя;
Тормозная система передняя: дисковые, вентилируемые;


","**************************************************Объем двигателя, см3: не менее 1998;
Количество цилиндров: не менее 4;
Максимальная мощность, л.с.: 
не менее 140;
Объем топливного бака, л: не менее 50;
Количество передач (вперед): не менее 6;
Подвеска задняя: независимая многорычажная, с гидравлическими амортизаторами и стабилизаторами поперечной устойчивости;
Тормозная система задняя: дисковые, вентилируемые или барабанные; 
Размер колесных дисков: 16 -17 дюймов;
Расход топлива, загородный цикл, л/100 км: 5-7;
Расход топлива, городской цикл, л/100 км: 9-11;
Расход топлива, смешанный цикл, л/100 км: 7-9;
Длина, мм: 4300-4500;
Ширина, мм: не более 2000;
Высота, мм: не менее 1600;
Колесная база, мм: 2650-2700;
Экологический класс: не ниже Евро 5.
Окраска автомобиля металлизированной краской оттенков серебристого цвета.
Степень сжатия не менее: 11,1
Год выпуска: не ранее 2017"
497,4АКПП,,,передний,,1598,,175,,,,,,**************************************************Коробка передач*************************Коробка передач,**************************************************4-ступенчатая автоматическая*************************,**************************************************Тип привода*************************Стеклоподъёмники передних дверей с электроприводом*************************Тип привода*************************nan,**************************************************Тип привода*************************Стеклоподъёмники передних дверей с электроприводом*************************Тип привода*************************nan*************************nan,**************************************************Габаритные размеры (длина, ширина, высота)  мм.*************************Габаритные размеры (длина, ширина, высота)  мм.,**************************************************Не менее  4656 / 1695 / 1522*************************,"**************************************************Возможность снижения цены контракта в ходе его исполнения без изменения предусмотренных контрактом количества товара, объема работы или услуги, качества поставляемого товара, выполняемой работы, оказываемой услуги и иных условий контракта","**************************************************Допускается по соглашению сторон.
",**************************************************Габаритные размеры (длина, ширина, высота)  мм.*************************Габаритные размеры (длина, ширина, высота)  мм.,**************************************************Не менее  4656 / 1695 / 1522*************************,**************************************************Максимальная скорость км/ч*************************Максимальная скорость км/ч,**************************************************Не менее 175*************************
498,механическая,,,передний,1820,1900,4600,,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
503,,,,передний,1706,,4483,,,,,,,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,"**************************************************Количество поставляемого товара, объема выполняемых работ, оказываемых услуг:",**************************************************Требования  к количеству поставляемого товара указаны в разделе 3 «ТЕХНИЧЕСКАЯ ЧАСТЬ».,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
