,0,1_коробка_передач_1,2_коробка_передач_2,1_мод_1,2_мод_2,1_привод_1,2_привод_2,1_ширина_1,2_ширина_2,1_объем_1,2_объем_2,1_длина_1,2_длина_2,1_скорость_1,2_скорость_2,1_масса_1,2_масса_2,1_выпуска_1,2_выпуска_2,1_мощность_1,2_мощность_2,1_топлива_1,2_топлива_2
287,1466,"**************************************************Год выпуска – не ранее 2017 год.
Тип двигателя – бензиновый
Тип топлива – АИ 92
Рабочий объем – 2,693л
Макс. мощность –128 л.с.
Колесная формула – 4х4
Коробка передач – механическая, 5-ступенчатая, КПП Dymos.
Раздаточная коробка – 2-ступенчатая с отключением привода переднего моста, мосты спайсер.
Привод – постоянный задний, с жестко подключаемым передним
Количество мест -  5.
Длина - 4100 мм
Ширина- не менее 
Высота- не менее 
Колесная база – не менее 
Дорожный просвет – не менее 210 мм
Глубина преодолеваемого брода – 500мм
Снаряженная масса автомобиля – не более 
Полная масса – не более 
Грузоподъемность – не более 
Передние тормоза – дискового типа
Задние тормоза – барабанного типа
Тип передней подвески – зависимая, пружинная со стабилизатором поперечной устойчивости
Тип задней подвески –зависимая, на двух продольных полуэллиптических малолистовых рессорах
Макс. Скорость – ./ч
Объем топливного бака – не менее 72л
Защита рулевых тяг, штампованный стальной лист – наличие
Защита КПП и раздатки, штампованный стальной лист – наличие
Гидроусилитель руля – наличие
Обивка сидений на моющей основе – наличие
Покрытие пола – моющееся",**************************************************1,**************************************************nan,**************************************************nan*************************nan,"**************************************************Год выпуска – не ранее 2017 год.
Тип двигателя – бензиновый
Тип топлива – АИ 92
Рабочий объем – 2,693л
Макс. мощность –128 л.с.
Колесная формула – 4х4
Коробка передач – механическая, 5-ступенчатая, КПП Dymos.
Раздаточная коробка – 2-ступенчатая с отключением привода переднего моста, мосты спайсер.
Привод – постоянный задний, с жестко подключаемым передним
Количество мест -  5.
Длина - 4100 мм
Ширина- не менее 
Высота- не менее 
Колесная база – не менее 
Дорожный просвет – не менее 210 мм
Глубина преодолеваемого брода – 500мм
Снаряженная масса автомобиля – не более 
Полная масса – не более 
Грузоподъемность – не более 
Передние тормоза – дискового типа
Задние тормоза – барабанного типа
Тип передней подвески – зависимая, пружинная со стабилизатором поперечной устойчивости
Тип задней подвески –зависимая, на двух продольных полуэллиптических малолистовых рессорах
Макс. Скорость – ./ч
Объем топливного бака – не менее 72л
Защита рулевых тяг, штампованный стальной лист – наличие
Защита КПП и раздатки, штампованный стальной лист – наличие
Гидроусилитель руля – наличие
Обивка сидений на моющей основе – наличие
Покрытие пола – моющееся",**************************************************1,"**************************************************Год выпуска – не ранее 2017 год.
Тип двигателя – бензиновый
Тип топлива – АИ 92
Рабочий объем – 2,693л
Макс. мощность –128 л.с.
Колесная формула – 4х4
Коробка передач – механическая, 5-ступенчатая, КПП Dymos.
Раздаточная коробка – 2-ступенчатая с отключением привода переднего моста, мосты спайсер.
Привод – постоянный задний, с жестко подключаемым передним
Количество мест -  5.
Длина - 4100 мм
Ширина- не менее 
Высота- не менее 
Колесная база – не менее 
Дорожный просвет – не менее 210 мм
Глубина преодолеваемого брода – 500мм
Снаряженная масса автомобиля – не более 
Полная масса – не более 
Грузоподъемность – не более 
Передние тормоза – дискового типа
Задние тормоза – барабанного типа
Тип передней подвески – зависимая, пружинная со стабилизатором поперечной устойчивости
Тип задней подвески –зависимая, на двух продольных полуэллиптических малолистовых рессорах
Макс. Скорость – ./ч
Объем топливного бака – не менее 72л
Защита рулевых тяг, штампованный стальной лист – наличие
Защита КПП и раздатки, штампованный стальной лист – наличие
Гидроусилитель руля – наличие
Обивка сидений на моющей основе – наличие
Покрытие пола – моющееся",**************************************************1,"**************************************************nan*************************Год выпуска – не ранее 2017 год.
Тип двигателя – бензиновый
Тип топлива – АИ 92
Рабочий объем – 2,693л
Макс. мощность –128 л.с.
Колесная формула – 4х4
Коробка передач – механическая, 5-ступенчатая, КПП Dymos.
Раздаточная коробка – 2-ступенчатая с отключением привода переднего моста, мосты спайсер.
Привод – постоянный задний, с жестко подключаемым передним
Количество мест -  5.
Длина - 4100 мм
Ширина- не менее 
Высота- не менее 
Колесная база – не менее 
Дорожный просвет – не менее 210 мм
Глубина преодолеваемого брода – 500мм
Снаряженная масса автомобиля – не более 
Полная масса – не более 
Грузоподъемность – не более 
Передние тормоза – дискового типа
Задние тормоза – барабанного типа
Тип передней подвески – зависимая, пружинная со стабилизатором поперечной устойчивости
Тип задней подвески –зависимая, на двух продольных полуэллиптических малолистовых рессорах
Макс. Скорость – ./ч
Объем топливного бака – не менее 72л
Защита рулевых тяг, штампованный стальной лист – наличие
Защита КПП и раздатки, штампованный стальной лист – наличие
Гидроусилитель руля – наличие
Обивка сидений на моющей основе – наличие
Покрытие пола – моющееся",**************************************************nan*************************nan*************************1,"**************************************************Год выпуска – не ранее 2017 год.
Тип двигателя – бензиновый
Тип топлива – АИ 92
Рабочий объем – 2,693л
Макс. мощность –128 л.с.
Колесная формула – 4х4
Коробка передач – механическая, 5-ступенчатая, КПП Dymos.
Раздаточная коробка – 2-ступенчатая с отключением привода переднего моста, мосты спайсер.
Привод – постоянный задний, с жестко подключаемым передним
Количество мест -  5.
Длина - 4100 мм
Ширина- не менее 
Высота- не менее 
Колесная база – не менее 
Дорожный просвет – не менее 210 мм
Глубина преодолеваемого брода – 500мм
Снаряженная масса автомобиля – не более 
Полная масса – не более 
Грузоподъемность – не более 
Передние тормоза – дискового типа
Задние тормоза – барабанного типа
Тип передней подвески – зависимая, пружинная со стабилизатором поперечной устойчивости
Тип задней подвески –зависимая, на двух продольных полуэллиптических малолистовых рессорах
Макс. Скорость – ./ч
Объем топливного бака – не менее 72л
Защита рулевых тяг, штампованный стальной лист – наличие
Защита КПП и раздатки, штампованный стальной лист – наличие
Гидроусилитель руля – наличие
Обивка сидений на моющей основе – наличие
Покрытие пола – моющееся",**************************************************1,"**************************************************Год выпуска – не ранее 2017 год.
Тип двигателя – бензиновый
Тип топлива – АИ 92
Рабочий объем – 2,693л
Макс. мощность –128 л.с.
Колесная формула – 4х4
Коробка передач – механическая, 5-ступенчатая, КПП Dymos.
Раздаточная коробка – 2-ступенчатая с отключением привода переднего моста, мосты спайсер.
Привод – постоянный задний, с жестко подключаемым передним
Количество мест -  5.
Длина - 4100 мм
Ширина- не менее 
Высота- не менее 
Колесная база – не менее 
Дорожный просвет – не менее 210 мм
Глубина преодолеваемого брода – 500мм
Снаряженная масса автомобиля – не более 
Полная масса – не более 
Грузоподъемность – не более 
Передние тормоза – дискового типа
Задние тормоза – барабанного типа
Тип передней подвески – зависимая, пружинная со стабилизатором поперечной устойчивости
Тип задней подвески –зависимая, на двух продольных полуэллиптических малолистовых рессорах
Макс. Скорость – ./ч
Объем топливного бака – не менее 72л
Защита рулевых тяг, штампованный стальной лист – наличие
Защита КПП и раздатки, штампованный стальной лист – наличие
Гидроусилитель руля – наличие
Обивка сидений на моющей основе – наличие
Покрытие пола – моющееся",**************************************************1,"**************************************************Год выпуска – не ранее 2017 год.
Тип двигателя – бензиновый
Тип топлива – АИ 92
Рабочий объем – 2,693л
Макс. мощность –128 л.с.
Колесная формула – 4х4
Коробка передач – механическая, 5-ступенчатая, КПП Dymos.
Раздаточная коробка – 2-ступенчатая с отключением привода переднего моста, мосты спайсер.
Привод – постоянный задний, с жестко подключаемым передним
Количество мест -  5.
Длина - 4100 мм
Ширина- не менее 
Высота- не менее 
Колесная база – не менее 
Дорожный просвет – не менее 210 мм
Глубина преодолеваемого брода – 500мм
Снаряженная масса автомобиля – не более 
Полная масса – не более 
Грузоподъемность – не более 
Передние тормоза – дискового типа
Задние тормоза – барабанного типа
Тип передней подвески – зависимая, пружинная со стабилизатором поперечной устойчивости
Тип задней подвески –зависимая, на двух продольных полуэллиптических малолистовых рессорах
Макс. Скорость – ./ч
Объем топливного бака – не менее 72л
Защита рулевых тяг, штампованный стальной лист – наличие
Защита КПП и раздатки, штампованный стальной лист – наличие
Гидроусилитель руля – наличие
Обивка сидений на моющей основе – наличие
Покрытие пола – моющееся",**************************************************1,"**************************************************Год выпуска – не ранее 2017 год.
Тип двигателя – бензиновый
Тип топлива – АИ 92
Рабочий объем – 2,693л
Макс. мощность –128 л.с.
Колесная формула – 4х4
Коробка передач – механическая, 5-ступенчатая, КПП Dymos.
Раздаточная коробка – 2-ступенчатая с отключением привода переднего моста, мосты спайсер.
Привод – постоянный задний, с жестко подключаемым передним
Количество мест -  5.
Длина - 4100 мм
Ширина- не менее 
Высота- не менее 
Колесная база – не менее 
Дорожный просвет – не менее 210 мм
Глубина преодолеваемого брода – 500мм
Снаряженная масса автомобиля – не более 
Полная масса – не более 
Грузоподъемность – не более 
Передние тормоза – дискового типа
Задние тормоза – барабанного типа
Тип передней подвески – зависимая, пружинная со стабилизатором поперечной устойчивости
Тип задней подвески –зависимая, на двух продольных полуэллиптических малолистовых рессорах
Макс. Скорость – ./ч
Объем топливного бака – не менее 72л
Защита рулевых тяг, штампованный стальной лист – наличие
Защита КПП и раздатки, штампованный стальной лист – наличие
Гидроусилитель руля – наличие
Обивка сидений на моющей основе – наличие
Покрытие пола – моющееся",**************************************************1,"**************************************************Год выпуска – не ранее 2017 год.
Тип двигателя – бензиновый
Тип топлива – АИ 92
Рабочий объем – 2,693л
Макс. мощность –128 л.с.
Колесная формула – 4х4
Коробка передач – механическая, 5-ступенчатая, КПП Dymos.
Раздаточная коробка – 2-ступенчатая с отключением привода переднего моста, мосты спайсер.
Привод – постоянный задний, с жестко подключаемым передним
Количество мест -  5.
Длина - 4100 мм
Ширина- не менее 
Высота- не менее 
Колесная база – не менее 
Дорожный просвет – не менее 210 мм
Глубина преодолеваемого брода – 500мм
Снаряженная масса автомобиля – не более 
Полная масса – не более 
Грузоподъемность – не более 
Передние тормоза – дискового типа
Задние тормоза – барабанного типа
Тип передней подвески – зависимая, пружинная со стабилизатором поперечной устойчивости
Тип задней подвески –зависимая, на двух продольных полуэллиптических малолистовых рессорах
Макс. Скорость – ./ч
Объем топливного бака – не менее 72л
Защита рулевых тяг, штампованный стальной лист – наличие
Защита КПП и раздатки, штампованный стальной лист – наличие
Гидроусилитель руля – наличие
Обивка сидений на моющей основе – наличие
Покрытие пола – моющееся",**************************************************1,"**************************************************nan*************************Год выпуска – не ранее 2017 год.
Тип двигателя – бензиновый
Тип топлива – АИ 92
Рабочий объем – 2,693л
Макс. мощность –128 л.с.
Колесная формула – 4х4
Коробка передач – механическая, 5-ступенчатая, КПП Dymos.
Раздаточная коробка – 2-ступенчатая с отключением привода переднего моста, мосты спайсер.
Привод – постоянный задний, с жестко подключаемым передним
Количество мест -  5.
Длина - 4100 мм
Ширина- не менее 
Высота- не менее 
Колесная база – не менее 
Дорожный просвет – не менее 210 мм
Глубина преодолеваемого брода – 500мм
Снаряженная масса автомобиля – не более 
Полная масса – не более 
Грузоподъемность – не более 
Передние тормоза – дискового типа
Задние тормоза – барабанного типа
Тип передней подвески – зависимая, пружинная со стабилизатором поперечной устойчивости
Тип задней подвески –зависимая, на двух продольных полуэллиптических малолистовых рессорах
Макс. Скорость – ./ч
Объем топливного бака – не менее 72л
Защита рулевых тяг, штампованный стальной лист – наличие
Защита КПП и раздатки, штампованный стальной лист – наличие
Гидроусилитель руля – наличие
Обивка сидений на моющей основе – наличие
Покрытие пола – моющееся",**************************************************nan*************************nan*************************1
288,1469,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,**************************************************Привод*************************Электропривод и электрообогрев наружных зеркал,**************************************************Передний *************************наличие,**************************************************Ширина,**************************************************Не менее 1764 мм ,"**************************************************Требования к количеству товара, объему работ (услуг)*************************Рабочий объем*************************Объем багажного отделения","**************************************************
*************************Не менее 1596 см³ *************************Не менее 480 л",**************************************************Длина,**************************************************Не менее 4410 мм ,*************************,*************************,**************************************************Снаряженная масса,**************************************************Не менее 1230 кг ,**************************************************Год выпуска,**************************************************Не ранее 2017 года,"**************************************************Максимальная мощность, кВт (л.с.) / об.мин.",**************************************************Не менее 78 (106) / 5800 ,**************************************************nan*************************Расход топлива,**************************************************nan*************************nan*************************  
289,1474,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,"**************************************************






Автомобиль выпуска","**************************************************







шт",*************************,*************************,**************************************************nan,**************************************************nan*************************nan
290,1475,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,**************************************************боковые зеркала заднего вида с электрорегулеровкой и электроприводом складывания,**************************************************В наличии,**************************************************Ширина (мм),**************************************************Не менее 1820 мм,**************************************************nan*************************Объем топливного бака (литры),**************************************************nan*************************nan*************************Не менее 70 л.,**************************************************Длина (мм),**************************************************Не менее 4850 мм,*************************,*************************,**************************************************Снаряженная масса (кг),**************************************************Не менее 1530,**************************************************Год выпуска,**************************************************Не ранее 2017 года,*************************,*************************,**************************************************nan,**************************************************nan*************************nan
291,1480,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
292,1493,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
293,1502,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,"**************************************************Возможность изменения количества поставляемых товаров, объемов работ, услуг в соответствии с п. 18 ст. 34 Федерального закона*************************nan","**************************************************Возможность изменения количества поставляемых товаров, объемов работ, услуг в соответствии с п. 18 ст. 34 Федерального закона*************************nan*************************nan",*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
294,1504,*************************,*************************,"**************************************************Легковой автомобиль (указать - марку, модель транспортного средства, цвет, год выпуска, идентификационный номер VIN).",**************************************************шт.,**************************************************nan*************************nan,**************************************************nan*************************nan*************************nan,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,"**************************************************Легковой автомобиль (указать - марку, модель транспортного средства, цвет, год выпуска, идентификационный номер VIN).*************************nan","**************************************************Легковой автомобиль (указать - марку, модель транспортного средства, цвет, год выпуска, идентификационный номер VIN).*************************nan*************************nan",*************************,*************************,*************************,*************************
295,1506,"**************************************************Раздаточная коробка:
Механическая
Подключаемый полный привод","**************************************************Показатель, значение которого не может изменяться",*************************,*************************,"**************************************************Привод колес:
Полный, с электрическим блокируемым дифференциалом заднего моста","**************************************************Показатель, значение которого не может изменяться","**************************************************Ширина  не менее 196 мм
Высота профиля  не менее 147 мм",**************************************************Минимальное значение,**************************************************Рабочий объем не менее 2890 см3,**************************************************Минимальное значение,*************************,*************************,*************************,*************************,**************************************************Разрешенная максимальная масса кг.- не более 3500,**************************************************Максимальное значение,*************************,*************************,"**************************************************Мощность не менее  106,6 л.с.",**************************************************Минимальное значение,"**************************************************Тип потребляемого топлива ( октановое число) не менее АИ-92

",**************************************************Минимальное значение
296,1507,*************************,*************************,*************************,*************************,**************************************************Полный привод,**************************************************,**************************************************ширина,**************************************************мм,**************************************************Объем двигателя*************************nan,**************************************************Объем двигателя*************************nan*************************nan,**************************************************длина,**************************************************мм,**************************************************Максимальная скорость,**************************************************км/ч,*************************,*************************,*************************,*************************,**************************************************Максимальная мощность двигателя,**************************************************л.с./кВт/об.мин.,**************************************************Вид топлива,**************************************************
