,0,1,2
120,,**************************************************Тип привода,**************************************************Передний привод
121,,"**************************************************Количество дверей – 5. Количество мест – не менее 5. 
Длина /ширина/ высота/  мм, не менее 4056- не менее 2120 – не менее 1690. Полная масса – не менее 1860 кг, снаряженная масса - не менее 1350 кг, грузоподъемность – не менее 450 кг. Объем багажного отделения – не менее 320 л, при сложенных задних сидениях – не менее 650 л. Двигатель бензиновый, 4-цилиндровый, рядный с распределенным впрыском топлива, рабочий объем- не менее 1690 см куб. Номинальная мощность- не менее 79,6 л. с. Максимальный крутящий момент- не менее 127,4 Н/м.  Максимальная скорость- не менее 140 км/ч. Заправочный объем бензобака – не менее 58 л. Нормы токсичности -  Евро 5. Расход топлива, л/100 км: загородный режим  - не более 8,4, городской режим – не более 13,2, смешанный тип- не более 10,2. Привод постоянный, на все колеса через межосевой блокируемый дифференциал, раздаточная коробка 2 –ступенчатая, с межосевым дифференциалом, имеющая принудительную блокировку.

Комплектация:
Центральный замок с дистанционным управлением
Передние электростеклоподъемники 
Задние складываемые сидения в пропорции 60/40
Кондиционер
Аудиоподготовка
Наружные зеркала заднего вида с электроприводом и подогревом
Гидроусилитель руля
Иммобилайзер
Рулевая колонка, регулируемая по высоте
Полноразмерное запасное колесо (аналогичное штатным колесам)
Антиблокировочная система АБС
Колеса 205/75 R15 
Дополнительно: ковры салона и багажника","**************************************************Количество дверей – 5. Количество мест – не менее 5. 
Длина /ширина/ высота/  мм, не менее 4056- не менее 2120 – не менее 1690. Полная масса – не менее 1860 кг, снаряженная масса - не менее 1350 кг, грузоподъемность – не менее 450 кг. Объем багажного отделения – не менее 320 л, при сложенных задних сидениях – не менее 650 л. Двигатель бензиновый, 4-цилиндровый, рядный с распределенным впрыском топлива, рабочий объем- не менее 1690 см куб. Номинальная мощность- не менее 79,6 л. с. Максимальный крутящий момент- не менее 127,4 Н/м.  Максимальная скорость- не менее 140 км/ч. Заправочный объем бензобака – не менее 58 л. Нормы токсичности -  Евро 5. Расход топлива, л/100 км: загородный режим  - не более 8,4, городской режим – не более 13,2, смешанный тип- не более 10,2. Привод постоянный, на все колеса через межосевой блокируемый дифференциал, раздаточная коробка 2 –ступенчатая, с межосевым дифференциалом, имеющая принудительную блокировку.

Комплектация:
Центральный замок с дистанционным управлением
Передние электростеклоподъемники 
Задние складываемые сидения в пропорции 60/40
Кондиционер
Аудиоподготовка
Наружные зеркала заднего вида с электроприводом и подогревом
Гидроусилитель руля
Иммобилайзер
Рулевая колонка, регулируемая по высоте
Полноразмерное запасное колесо (аналогичное штатным колесам)
Антиблокировочная система АБС
Колеса 205/75 R15 
Дополнительно: ковры салона и багажника"
122,,*************************,*************************
123,,**************************************************Привод,**************************************************
124,,**************************************************Электропривод и электрообогрев наружных зеркал,**************************************************
125,передний,**************************************************Тип привода*************************nan,**************************************************Тип привода*************************nan*************************nan
126,передний,**************************************************nan,**************************************************nan*************************nan
127,,*************************,*************************
128,передний задний,**************************************************Привод на колеса - полный*************************Привод на колеса - полный,**************************************************наличие*************************
129,передний,**************************************************Тип привода,**************************************************передний
130,,"**************************************************Тип привода*************************боковые зеркала заднего вида с обогревом, электрорегулировкой и электроприводом складывания",**************************************************Передний*************************наличие
131,,*************************,*************************
132,,**************************************************Легковой переднеприводный автомобиль бизнес класса (отечественного производства) для обеспечения служебной деятельности,**************************************************29.10.22.000
133,,*************************,*************************
134,передний,*************************,*************************
135,,*************************,*************************
136,,*************************,*************************
137,,*************************,*************************
138,передний,**************************************************Тип привода ГРМ,**************************************************Цепной
139,передний,*************************,*************************
140,многоточечный,*************************,*************************
141,,"**************************************************Поставка легкового автомобиля Renault Duster Privilege или эквивалент
Тип кузова: Универсал
Год изготовления: 2016-2017
Количество дверей: Не менее 5
Количество мест: Не менее 5
Длина, мм: Не более  4315
Ширина, мм: Не более 1822
Высота , мм: Не более 1625
Дорожный просвет, мм: Не менее 210
Привод: Полный
Снаряженная масса, кг: Не более 1416
Полная масса, кг: Не более 1877
Объем багажника, л: Не менее 408
Размер шин:	215/65 R16
Защита картера двигателя
Передние и задние брызговики
ABS с электронным распределением тормозных усилий +AFU (система помощи при экстренном торможении)
ESP (система стабилизации курсовой устойчивости) + HSA (система помощи при трогании на подъеме)
Бортовой компьютер
Гидроусилитель рулевого управления
Регулировка руля по высоте
Передние электростеклоподъемники
Центральный замок с дистанционным управлением
Дневные ходовые огни
Противотуманные фары
Антикорозийная защита
Сигнализация с обратной связью с установкой
Кондиционер
Полноразмерное запасное колесо (стальное)
Прицепное оборудование: Упорная нагрузка (кг) - 100, Нагрузка навесная / прицепная (кг) – 2500 С монтажом оборудования и проводки
Тип топлива: 	Бензин с октановым числом 95 и выше
Рабочий объем двигателя, см3: Не менее 1998
Мощность, л.с./об/мин: Не менее 143/5750
Крутящий момент, Нхм/об/мин: Не менее 195/4000
Максимальная скорость, км/ч : Не менее 174
Объем топливного бака, л: Не менее 50
Число цилиндров/ расположение: 4/рядный
Расход топлива в городском цикле, л. на 100 км: Не более 11,3
Расход топлива на трассе, л. на 100 км: Не более 7,2
Расход топлива в смешанном цикле, л. на 100 км : Не более 8,7
Тип коробки передач: МКП6",**************************************************Штука
142,передний,*************************,*************************
143,,*************************,*************************
144,передний,**************************************************Тип привода,**************************************************Передний (4х2)
145,,**************************************************nan,**************************************************nan*************************nan
146,,"**************************************************боковые зеркала заднего вида с обогревом, электрорегулировкой,  повторителями указателей поворота и электроприводом складывания","**************************************************боковые зеркала заднего вида с обогревом, электрорегулировкой,  повторителями указателей поворота и электроприводом складывания"
147,,*************************,*************************
148,,**************************************************nan*************************nan,**************************************************nan*************************nan*************************nan
149,,*************************,*************************
150,,**************************************************Привод*************************Привод,**************************************************Должен быть передний*************************
151,передний,"**************************************************Тип кузова - седан, колесная формула/ведущие колеса 4х2/передние, расположение двигателя переднее, двигатель 11186, тип двигателя бензиновый, система питания – впрыск топлива с электронным управлением, количество цилиндров – 4, количество клапанов -8, расположение цилиндров- рядной, привод ГРМ-ремень, подушка безопасности водителя, подголовники задних сидений, блокировка задних дверей от открывания, иммобилайзер, дневные ходовые огни, антиблокировочная система тормозов с усилителем экстренного торможения, электронная система распределения тормозных усилий, бортовой компьютер, подсказчик переключения передач в комбинации приборов, розетка 12V, электроусилитель рулевого управления, регулируемая по высоте рулевая колонка, воздушный фильтр солона, легкая тонировка стекол, электростеклоподьемники передних дверей, электрообогрев наружных зеркал, кондиционер, аудиоподготовка, бамперы в цвет кузова, рамки дверей черного цвета,  колеса штомпованные 14II , запасное колесо штампованное полноразмерное 14II , колпаки колес декоративные","**************************************************цвет

год выпуска


количество мест

длина кузова (мм) 

ширина кузова (мм)

высота кузова (мм)

колесная база (мм)

колея передних колес (мм)

колея задних колес (мм)

объем багажного отделения (л)

рабочий объем двигателя (см 3)

максимальная мощность (л.с.)

максимальная скорость, км/ч


расход топлива
в городе на 100 км, л 

средний расход топлива на 100 км, л

расход топлива по трассе на 100 км, л

экологический класс"
152,,**************************************************Постоянный полный привод,**************************************************4х4
153,,**************************************************Полноприводный легковой автомобиль ,"**************************************************Товар новый, который не был в употреблении, в ремонте, в том числе который не был восстановлен, у которого не была осуществлена замена составных частей, не были восстановлены потребительские свойства, год выпуска не ранее 2016 г.
Товар может быть доставлен по адресу заказчика любым способом за исключением самостоятельного передвижения в пределах дорог, предназначенных для движения транспортных средств.
Наличие отметки об оплате утилизационного сбора в паспорте транспортного средства (в случае выпуска автомобиля после 01.02.2016);
Наличие системы автоматического вызова экстренных служб ""ЭРА-Глонасс"" (в случае выпуска автомобиля после 31.12.2016)
ЛЕГКОВОЙ АВТОМОБИЛЬ:
- максимальная скорость: не менее 180 км/ч;
- емкость топливного бака: не менее 60 л;
- снаряженная масса: не менее 1400 кг;
Кузов:
- тип: кроссовер; 
- количество мест: не менее 5;
- количество дверей: не менее 5;
- объем багажного отделения: не менее 590 л;
- дорожный просвет: не менее 215 мм;
Двигатель:
- бензиновый;
- количество цилиндров: не менее 4;
- расположение цилиндров: рядное;
- объем: не менее 1900 м3;
- мощность: не менее 145 л.с.
Размеры:
- длина: не менее 4600 мм;
- ширина: не менее 1800 мм;
- высота: не менее 1600 мм;
Требования к безопасности:
- наличие автоматической системы разблокировки дверей при аварии;
- наличие боковых брусьев безопасности в дверях;
- наличие динамической системы курсовой устойчивости и пробуксовочной системы;
"
154,передний,**************************************************Тип привода ,**************************************************передний
155,,"**************************************************Привод на                 

на все колеса через межосевой","**************************************************          Не менее 4x4, постоянный, на все колеса через "
156,,"**************************************************4-дверный седан. Количество мест оборудованных ремнями безопасности: 5
Двигатель: бензиновый, 4-цилиндровый, рядный.
Топливо: бензин с октановым числом  95.
Трансмиссия: механическая.
Передняя: независимая, типа Макферсон.
Задняя: Полузависимая, рычажная, пружинная.
Передние тормоза: дискового типа.
Задние тормоза: дискового типа.                                                                       
Шины: радиальные
Дополнительное оборудование (наличие):
1.	Подушка безопасности водителя;
2.	Подушка безопасности переднего пассажира с функцией отключения;
3.	Подголовники задних сидений;
4.	Блокировка задних дверей от открывания;
5.	Автоматическое отпирание дверей и включение аварийной сигнализации при столкновении;
6.	Автоматическое запирание дверей при движении;
7.	Иммобилайзер;
8.	Охранная сигнализация;
9.	Дневные ходовые огни;
10.	Система экстренного оповещения ЭРА-ГЛОНАС;
11.	Антиблокировочная система тормозов с усилителем экстренного торможения (ABS+ВАS);
12.	Электронная система распределения тормозных усилий (ЕВD);
13.	Система курсовой устойчивости (ЕSС);
14.	Противобуксовочная система (ТСS);
15.	Система помощи при трогании на подъеме (НSА);
16.	Защита двигателя и подкопотного пространства;
17.	Бортовой компьютер;
18.	Заднее сиденье с раскладной спинкой в пропорции 60/40;
19.	Розетка 12V;
20.	Противосолнечный козырек водителя и пассажира с зеркалом;
21.	Экектроусилитель рулевого управления;
22.	Регулируемая по высоте и по вылету рулевая колонка;
23.	Регулировка ремней безопасности передних сидений по высоте;
24.	Воздушный фильтр салона;
25.	Легкая тонировка стерол;
26.	Складной ключ;
27.	Центральный замок с дистанционным управлением;
28.	Электростеклоподъемники передних дверей;
29.	Подогрев передних сидений;
30.	Электропривод и электрообогрев наружных зеркал;
31.	Аудиоподготовка;
32.	Наружные зеркала с боковыми указателями поворота;
33.	Колеса штампованные на 15"";
34.	Колпаки колес декоративные;
35.	Запасное колесо штампованное полноразмерное на 15;
36.	Комплект зимней шипованной  резины  на 15"" (4 шины).","**************************************************Снаряженная масса, кг: не более 1270.
Количество ступеней трансмиссии: 5 или 6.
Объем багажного отделения, л: не менее  480.
Допустимая полная масса буксируемого прицепа без тормозов, кг: не менее 450.
Рабочий объем, см3: не менее 1591, но не более 2000.
Максимальная мощность, л.с.: не менее 123, но не более 150.
Максимальный крутящий момент, Н·м: не менее 148.
Максимальная скорость км/ч: не более 193.
Емкость топливного бака, л: не более 60.
Расход топлива, загородный  режим, л / 100 км: не более 5,8.
Расход топлива, городской режим, л / 100 км: не более 9,3.
Расход топлива, смешанный тип, л / 100 км: не более 7.
Размерность шин, не более: 185/65R15.
"
157,,**************************************************Привод*************************Привод,**************************************************передний привод*************************передний привод
158,,*************************,*************************
159,передний,**************************************************nan*************************Привод: передний,**************************************************nan*************************nan*************************Привод: передний
160,,"**************************************************ДВИГАТЕЛЬ

Тип ДВС                                                           
Мощность, л.с.                                                 
Расположение двигателя                    
Рабочий объем, см3                                      
Число цилиндров                                             
Расположение цилиндров                                       
Количество клапанов на цилиндр               
Система питания
Наличие наддува                          
Мощность, л.с. при об/мин     
Крутящий момент, Нм при об/мин  
Средний условный расход топлива, л/100 км                
Город, л/100 км                              
Шоссе, л/100 км                  
Топливо                               

ДИНАМИЧЕСКИЕ ХАРАКТЕРИСТИКИ

Разгон с места до 100 км/ч, с
Максимальная скорость, км/ч                      

ТРАНСМИССИЯ

Тип коробки
Тип привода
                    
ХОДОВАЯ ЧАСТЬ

Передняя подвеска      
Задняя подвеска   
Тормоза передние   
Тормоза задние  
Шины

передние 
задние 

КУЗОВ

Тип          
Количество дверей           
Количество мест           

РАЗМЕРЫ, МАССА, ОБЪЕМЫ

Длина, мм         
Ширина, мм             
Высота, мм            
Колесная база, мм           
Колея колес, передних/задних, мм          
Клиренс, мм                       
Диаметр разворота, м                   
Снаряженная масса, кг                       
Допустимая полная масса, кг                     
Объем топливного бака, л                           
Объем багажника, л

ПРОЧЕЕ

Цвет 
Год выпуска 
Страна сборки       
Ограничение по пробегу, км
Доставка легкового автомобиля своим ходом
Безопасность    
Крепление для детского сиденья ISOFIX
Антиблокировочная система тормозных усилий
Полноразмерное запасное колесо
Иммобилайзер
Центральный замок с ДУ
Передние электростеклоподъемники
Галогеновые фары
Дневные ходовые огни
Стальные диски
Передние брызговики
Защита картера двигателя
Наружные зеркала и ручки дверей черного цвета
Обогрев заднего стекла","**************************************************

Бензиновый (Соответствие)
Не менее 80 не более 100
Спереди, поперечно (Соответствие)
Не менее 1590 не более 1700
Не менее  4 не более 8
Рядный (Соответствие)
Не менее  2 не более 4
Распределенный впрыск (Соответствие)
Нет (Соответствие)
Не менее  80 при 5000 не более 100 при 5000
Не менее 130 при 2800   не более 150 при 2800        
Не менее 6 не более 8,5
Не менее 8 не более 10
Не менее 5 не более 7
Бензин (Соответствие)



Не менее 11 не более 13
Не менее 170 не более 200



Механика (5 ступеней) (Соответствие)
Передний (Соответствие)



Независимая, пружинная, McPherson (Соответствие)
Полузависимая, пружинная (Соответствие)
Дисковые, вентилируемые (Соответствие)
Барабанные (Соответствие)
Стандартная комплектация      (Соответствие)

185/65 R15 (Соответствие)
185/65 R15 (Соответствие)



Седан (компактный) (Соответствие)
4 (Соответствие)
5 (Соответствие)



Не менее  4300 не более 4400
Не менее 1700 не более 1750 
Не менее 1500 не более 1550
Не менее 2600 не более 2700
Не менее 1490/1480 не более 1550/1500
Не менее 150 не более 180
Не менее  8 не более 11
Не менее 1100 не более 1150
Не менее 1500 не более 1600
Не менее 45 не более 80
Не менее 500 не более 550



Белый (Соответствие)
Не ранее 2017 года
Российская Федерация (Соответствие)
Не менее 5 не более 30
Не допускается (Указать способ доставки)
Подушка безопасности водителя 
Наличие
Наличие 
Наличие 
Наличие 
Наличие 
Наличие 
Наличие 
Наличие 
Наличие 
Наличие
Наличие 
  Соответствие
 Наличие"
161,полный,*************************,*************************
162,передний,"**************************************************Легковой автомобиль
Год выпуска Не ранее 2016 г.
Тип кузова Седан
Привод передний
Тип двигателя бензиновый
Объем двигателя, (л) Не менее 1,6
Максимальная мощность двигателя, л. с. Не менее 123
Тип трансмиссии 6-ти ступенчатая автоматическая коробка передач
Максимальная скорость (км/ч) 185-200
Ускорение 0-100 км/час, ( сек) 11-14
Расход топлива комбинированный (л/100км) 6-7
Цвет Белый или серебристый
Шины 185/65R 15
Стальные диски 
Декоративные колпаки 
Бампер окрашенный в цвет кузова 
Внешние ручки дверей окрашенные в цвет кузова 
Зеркала заднего вида с электроприводом и подогревом 
Повторители указателей поворота в декоративных элементах на передних крыльях 
Хромированная окантовка решетки радиатора 
Корректор угла наклона фар 
Дневные ходовые огни (DRL) 
Задний противотуманный фонарь 
Дополнительный стоп-сигнал 
Задние сидения со спинками, складывающимися в соотношении 60/40 
Подголовники с регулировкой по высоте 
Дополнительная шумоизоляция капота 
Лампа для чтения 
Карман в спинке сидения пассажира 
Центральная лампа освещения интерьера 
Прикуриватель и пепельница 
Крючки для одежды 
Фронтальные подушки безопасности 
Передние дисковые тормоза 
Антиблокировочная система тормозов (ABS) 
Передние трехточечные ремни безопасности с регулировкой по высоте 
Индикация не пристегнутого ремня водителя 
Центральный замок 
Кондиционер 
Магнитола с (USB); 
Подогрев передних сидений 
Воздуховоды к задним сидениям 
Подогрев рулевого колеса 
Мультимедийное управление на рулевом колесе 
Гидроусилитель руля 
Подогрев дворников в зоне стоянки 
Бортовой компьютер 
Регулировка рулевой по углу наклона 
Сидение водителя с регулировкой по высоте 
Магнитола МРЗ USB Аудиоподготовка с 4-мя динамиками 
Функция ЕСО 
Передние и задние электростеклоподъемники 
Полноразмерное запасное колесо 
Резиновое покрытие (коврики) в салоне автомобиля - передние, задние и в багажное отделение 
Ключ балонный 
Домкрат 
Аккумулятор увеличенной емкости (48Ач) 
Передние и задние брызговики 
Трехструйные форсунки стеклоомывателя расположенные под зоной стоянки стеклоочистителей 
Индикатор низкого уровня омывающей жидкости 
Увеличенный бачок омывающей жидкости (4л) 
Увеличенный клиренс (160 мм) 
Обработка кузова и днища автомобиля антикоррозионным покрытием 
Увеличенный срок службы ламп передних фар (до 1500 ч) 
Увеличенная мощность отопительной системы (4650кКал) 
Обработка радиатора материалом, защищающим от агрессивной внешней среды 
Экологический класс EURO
*************************Год выпуска Не ранее 2016 г. 
Тип кузова Седан 
Привод передний 
Тип двигателя бензиновый 
Объем двигателя, (л) Не менее 1,6 
Максимальная мощность двигателя, л. с. Не менее 123 
Тип трансмиссии 6-ти ступенчатая автоматическая коробка передач 
Максимальная скорость (км/ч) 185-200 
Ускорение 0-100 км/час, ( сек) 11-14 
Расход топлива комбинированный (л/100км) 6-7 
Цвет Белый или серебристый 
Шины 185/65R 15 
Стальные диски 
Декоративные колпаки 
Бампер окрашенный в цвет кузова 
Внешние ручки дверей окрашенные в цвет кузова 
Зеркала заднего вида с электроприводом и подогревом 
Повторители указателей поворота в декоративных элементах на передних крыльях 
Хромированная окантовка решетки радиатора 
Корректор угла наклона фар 
Дневные ходовые огни (DRL) 
Задний противотуманный фонарь 
Дополнительный стоп-сигнал 
Задние сидения со спинками, складывающимися в соотношении 60/40 
Подголовники с регулировкой по высоте 
Дополнительная шумоизоляция капота 
Лампа для чтения 
Карман в спинке сидения пассажира 
Центральная лампа освещения интерьера 
Прикуриватель и пепельница 
Крючки для одежды 
Фронтальные подушки безопасности 
Передние дисковые тормоза 
Антиблокировочная система тормозов (ABS) 
Передние трехточечные ремни безопасности с регулировкой по высоте 
Индикация не пристегнутого ремня водителя 
Центральный замок 
Кондиционер 
Магнитола с (USB); 
Подогрев передних сидений 
Воздуховоды к задним сидениям 
Подогрев рулевого колеса 
Мультимедийное управление на рулевом колесе 
Гидроусилитель руля 
Подогрев дворников в зоне стоянки 
Бортовой компьютер 
Регулировка рулевой по углу наклона 
Сидение водителя с регулировкой по высоте 
Магнитола МРЗ USB Аудиоподготовка с 4-мя динамиками 
Функция ЕСО 
Передние и задние электростеклоподъемники 
Полноразмерное запасное колесо 
Резиновое покрытие (коврики) в салоне автомобиля - передние, задние и в багажное отделение 
Ключ балонный 
Домкрат 
Аккумулятор увеличенной емкости (48Ач) 
Передние и задние брызговики 
Трехструйные форсунки стеклоомывателя расположенные под зоной стоянки стеклоочистителей 
Индикатор низкого уровня омывающей жидкости 
Увеличенный бачок омывающей жидкости (4л) 
Увеличенный клиренс (160 мм) 
Обработка кузова и днища автомобиля антикоррозионным покрытием 
Увеличенный срок службы ламп передних фар (до 1500 ч) 
Увеличенная мощность отопительной системы (4650кКал) 
Обработка радиатора материалом, защищающим от агрессивной внешней среды 
Экологический класс EURO",**************************************************Штука*************************Штука
163,,**************************************************nan,**************************************************nan*************************nan
164,передний,*************************,*************************
165,задних колес,**************************************************Тип привода,**************************************************-
166,,"**************************************************Тип привода*************************Тип привода - полный
Коробка передач – механическая
Тип двигателя – бензиновый
Объем двигателя, см3 – не менее 1 500
Объём топливного бака, л – не менее 50
Количество дверей, шт. – не менее 5
Количество мест, шт. – не менее 5
Габаритные размеры:
Длина, мм – не менее 4 300
Ширина, мм – не менее 1 800
Высота, мм – не менее 1 600
Вместимость багажника, л. – не менее 400
Год выпуска – не ранее 2016 года",**************************************************полный*************************ед.
167,зонный,**************************************************электропривод складывания,**************************************************Наличие
168,передний задний,*************************,*************************
169,,*************************,*************************
170,передний,**************************************************Тип привода,**************************************************постоянный задний с жестко подключаемым передним 
171,,*************************,*************************
172,,**************************************************Тип привода,**************************************************-
173,передний,**************************************************Привод,**************************************************Передний
174,передний,*************************,*************************
175,,**************************************************Привод,**************************************************Передний
176,передний,*************************,*************************
177,,"**************************************************Наружные зеркала заднего вида с электронным приводом и подогревом, окрашенные в цвет кузова
",**************************************************наличие
178,,*************************,*************************
179,кпп,**************************************************Тип привода,**************************************************
180,центральный замок дистанционным управлением,*************************,*************************
181,передний,**************************************************Электропривод и подогрев наружных зеркал,**************************************************Электропривод и подогрев наружных зеркал
182,задний,**************************************************Двухступенчатая с электрическим приводом,**************************************************Привод
183,жестко подключаемым передним,"**************************************************Автомобиль новый, ранее не эксплуатировавшийся
Длина - не менее 4363 мм;
Ширина – не менее 1940 мм;
Высота - не менее 2064 мм;
Грузоподъемность - не менее 800 кг;
Разрешенная максимальная масса - не менее 2880 кг;
Максимальная скорость - не менее 127 км/ч;
Колесная формула - 4х4;
Мощность двигателя – не менее 112 л.с.;
Объем топливного бака – не менее 77 л;
Кузов – не менее 5 мест;
Коробка передач - механическая, пятиступенчатая;
Раздаточная коробка – двухступенчатая с механическим приводом;
Привод - постоянный задний, с жестко подключаемым передним;
Двигатель – бензиновый, инжекторный;
Ремни безопасности инерционные на передних сидениях - наличие;
Выключатель зажигания с противоугонным устройством – наличие;
Световозвращатели на задних бамперах – наличие;
Диски, штампованные с шинами – наличие;
Информационно-предупреждающая табличка о закрывании видимости задних габаритных огней подвижными элементами – наличие;
Блок реле и предохранителей (единый) – наличие;
Аварийный выключатель сигнализации с подсветкой – наличие;
Мягкая обивка передних дверей – наличие;
Сиденье водителя с продольной регулировкой и регулировкой наклона спинки – наличие;
Отопитель салона – наличие;
Перегородка между пассажирским салоном и грузовым отсеком – наличие;
Стол в салоне на передней перегородке – наличие.






",**************************************************1
184,,*************************,*************************
185,,*************************,*************************
186,передний,"**************************************************Комплектация автомобиля: 
Фронтальные подушки безопасности водителя и переднего пассажира
Иммобилайзер
Электроусилитель руля				
Аудиоподготовка 4 динамика, антенна		
Система управления стабилизацией (VSM)	
Центральный замок				
Датчик наружной температуры				
Две розетки 12В на центральной консоли		
Система помощи при старте в горку (HAC)		
Регулировка передних ремней безопасности по высоте	
Складывающаяся по частям спинка заднего сиденья 60:40	
Стальные диски не менее 15"" с шинами 185/65 R15		
Антипробуксовочная система (TCS)		
Регулировка рулевой колонки по высоте			
Регулировка сиденья водителя по высоте			
Полноразмерное запасное колесо		
Антиблокировочная система тормозов (ABS)		
Тройное мигание поворотников при неполном нажатии рычага
Воздуховоды к ногам задних пассажиров			
Увеличенный не более 160 мм дорожный просвет		
Электронная система распределения тормозных усилий (EBD)	
Крепления ISOFIX сзади				
Зеркальца в солнцезащитных козырьках			
Ручки дверей и корпуса наружных зеркал в цвет кузова		
Система предупреждения водителей сзади при экстренном торможении
Брызговики спереди и сзади				
Карман в спинке кресла переднего пассажира		
Внутренняя обшивка крышки багажника		
Система мониторинга давления в шинах	
Дневные ходовые огни в бампере		
Карманы в задних дверях				
Воздушный фильтр салона		
Устройство вызова экстренных оперативных служб Эра-Глонасс
Электростеклоподъемники передние с подсветкой кнопок
Зеркала с электроприводом и обогревом	
Подогрев передних сидений	
Аудиосистема, радио	
Управление аудиосистемой на руле	
Разъемы USB, AUX для подключения внешних устройств	
Пульт управления центральным замком в ключе + сигнализация*
Электростеклоподъемник водителя с опусканием/поднятием однократным нажатием, безопасным доводчиком и задержкой отключения	
Электростеклоподъемники задние с подсветкой кнопок	
Подогрев руля	
Bluetooth для подключения мобильного телефона к аудиосистеме, громкая связь HandsFree	
Регулировка рулевой колонки по вылету	
Управление телефоном на руле	
Панель приборов Supervision	
Датчик низкого уровня омывающей жидкости	
Отделка дверей тканью	
Отделка руля кожей
","**************************************************Комплектация автомобиля: 
Фронтальные подушки безопасности водителя и переднего пассажира
Иммобилайзер
Электроусилитель руля				
Аудиоподготовка 4 динамика, антенна		
Система управления стабилизацией (VSM)	
Центральный замок				
Датчик наружной температуры				
Две розетки 12В на центральной консоли		
Система помощи при старте в горку (HAC)		
Регулировка передних ремней безопасности по высоте	
Складывающаяся по частям спинка заднего сиденья 60:40	
Стальные диски не менее 15"" с шинами 185/65 R15		
Антипробуксовочная система (TCS)		
Регулировка рулевой колонки по высоте			
Регулировка сиденья водителя по высоте			
Полноразмерное запасное колесо		
Антиблокировочная система тормозов (ABS)		
Тройное мигание поворотников при неполном нажатии рычага
Воздуховоды к ногам задних пассажиров			
Увеличенный не более 160 мм дорожный просвет		
Электронная система распределения тормозных усилий (EBD)	
Крепления ISOFIX сзади				
Зеркальца в солнцезащитных козырьках			
Ручки дверей и корпуса наружных зеркал в цвет кузова		
Система предупреждения водителей сзади при экстренном торможении
Брызговики спереди и сзади				
Карман в спинке кресла переднего пассажира		
Внутренняя обшивка крышки багажника		
Система мониторинга давления в шинах	
Дневные ходовые огни в бампере		
Карманы в задних дверях				
Воздушный фильтр салона		
Устройство вызова экстренных оперативных служб Эра-Глонасс
Электростеклоподъемники передние с подсветкой кнопок
Зеркала с электроприводом и обогревом	
Подогрев передних сидений	
Аудиосистема, радио	
Управление аудиосистемой на руле	
Разъемы USB, AUX для подключения внешних устройств	
Пульт управления центральным замком в ключе + сигнализация*
Электростеклоподъемник водителя с опусканием/поднятием однократным нажатием, безопасным доводчиком и задержкой отключения	
Электростеклоподъемники задние с подсветкой кнопок	
Подогрев руля	
Bluetooth для подключения мобильного телефона к аудиосистеме, громкая связь HandsFree	
Регулировка рулевой колонки по вылету	
Управление телефоном на руле	
Панель приборов Supervision	
Датчик низкого уровня омывающей жидкости	
Отделка дверей тканью	
Отделка руля кожей
"
