,Название,Тип:,"Электрическая мощность,  Мвт",Годовая выработка электричества:,Город:,Координаты:,"Тепловая мощность, Гкал/ч",Отпуск т/э с коллекторов:,КИУМ электрической мощности:,Адрес:,Удельный расход условного топлива на э/э (УРУТ э.э.):,Удельный расход условного топлива на т/э (УРУТ т.э.):,"Электрическая мощность, Гкал/ч","Тепловой коэффициент, Гкал/МВт*ч"
621,ГАЭС Каскада Кубанских ГЭС, Гидроаккумулирующая электростанция ,15.9,, Усть-Джегута, Широта: 44.226944 Долгота: 42.343611,,,,,,,13.6715355,
622,Теплоэнергосервис, Теплоэлектроцентраль ,15.5,, Мончегорск, указать местонахождение электростанции,434.39, 1 388.90 тыс. Гкал,,,,,13.3275975,28.02516129032258
623,Гусевская ТЭЦ, Теплоэлектроцентраль ,15.5, 14.78 млн. кВт*ч, Гусев, Широта: 54.591163 Долгота: 22.181842,66.0,,,,,,13.3275975,4.258064516129032
624,"СЭС ""Михайловская""", Солнечная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
625,"СЭС ""Ерзовка""", Солнечная электростанция ,15.0,, Ерзовка, указать местонахождение электростанции,,,,,,,12.897675,
626,"СЭС ""Суровикино""", Солнечная электростанция ,15.0,, Суровкино, указать местонахождение электростанции,,,,,,,12.897675,
627,"ВЭС ""Аксарайская""", Ветряная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
628,"СЭС ""Урюпинское""", Солнечная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
629,Зауральская ТЭЦ, Теплоэлектроцентраль ,15.0, 188.47 млн. кВт*ч, Сибай, Широта: 52.726389 Долгота: 58.707222,26.22, 291.02 тыс. Гкал,,,, 150 кг/Гкал,12.897675,1.748
630,"ВЭС ""Фунтово""", Ветряная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
631,Гусиноозёрская СЭС, Солнечная электростанция ,15.0,, Гусиноозёрск, указать местонахождение электростанции,,,,,,,12.897675,
632,"ВЭС ""Новая Майна""", Ветряная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
633,Резиновая СЭС, Солнечная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
634,"СЭС ""Володаровка""", Солнечная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
635,"СЭС ""Промстройматериалы""", Солнечная электростанция ,15.0,, Астрахань, Широта: 46.392396 Долгота: 47.978561,,,,,,,12.897675,
636,"СЭС ""Енотаевка""", Солнечная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
637,"СЭС ""Заводская""", Солнечная электростанция ,15.0,,, Широта: 46.398642 Долгота: 48.515582,,,,,,,12.897675,
638,"ВЭС ""Карсун""", Ветряная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
639,"СЭС ""Бубновская""", Солнечная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
640,"СЭС ""Элиста Западная""", Солнечная электростанция ,15.0,, Элиста, указать местонахождение электростанции,,,,,,,12.897675,
641,"СЭС ""Нива""", Солнечная электростанция ,15.0,,, Широта: 46.323579 Долгота: 48.198395,,,,,,,12.897675,
642,"ВЭС ""Новосергиевская""", Ветряная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
643,"ВЭС ""Аэропорт""", Ветряная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
644,Головная ГЭС Ардонского каскада Зарамагских ГЭС, Гидроэлектростанция ,15.0,, Владикавказ, Широта: 42.705278 Долгота: 43.974444,,,,,,,12.897675,
645,Новоузенская СЭС, Солнечная электростанция ,15.0,, Ершов, указать местонахождение электростанции,,,,,,,12.897675,
646,"СЭС ""Александровская""", Солнечная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
647,"СЭС ""Казинка""", Солнечная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
648,Пугачёвская СЭС, Солнечная электростанция ,15.0,, Пугачёв, указать местонахождение электростанции,,,,,,,12.897675,
649,"СЭС ""Элиста Восточная""", Солнечная электростанция ,15.0,, Элиста, указать местонахождение электростанции,,,,,,,12.897675,
650,"СЭС ""Доброе""", Солнечная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
651,"ВЭС ""Ишеевка""", Ветряная электростанция ,15.0,,, указать местонахождение электростанции,,,,,,,12.897675,
652,Сенгилеевская ГЭС Каскада Кубанских ГЭС, Гидроэлектростанция ,15.0,, Михайловск, Широта: 45.017486 Долгота: 41.672675,,,,,,,12.897675,
653,Гунибская ГЭС, Гидроэлектростанция ,15.0,, Буйнакск, Широта: 42.431806 Долгота: 46.987861,,,,,,,12.897675,
654,Томская ТЭЦ-1, Теплоэлектроцентраль ,14.7,, Томск, Широта: 56.482173 Долгота: 84.945101,815.5,, 38.70 %,, 247.39 г/кВт•ч, 153.42 кг/Гкал,12.639721499999998,55.47619047619048
655,Егорлыкская ГЭС-2 Каскада Кубанских ГЭС, Гидроэлектростанция ,14.2,, Ставрополь, Широта: 45.110833 Долгота: 41.550556,,,,,,,12.209798999999999,
656,Медногорская ТЭЦ, Теплоэлектроцентраль ,14.0, 16.41 млн. кВт*ч, Медногорск, Широта: 51.434643 Долгота: 57.572643,100.8,,,,,,12.03783,7.2
657,"Мини-ТЭЦ ""Океанариум"" (о.Русский)", Теплоэлектроцентраль ,13.2,, Владивосток, Широта: 43.004824 Долгота: 131.916264,29.6,,,,,,11.349953999999999,2.2424242424242427
658,Энергокомплекс - п. Фабрика им. 1-е Мая, Газопоршневая электростанция ,12.9,, Москва, указать местонахождение электростанции,,,,,,,11.0920005,
659,Энергокомплекс - п. Знамя Октября, Газопоршневая электростанция ,12.9,, Москва, указать местонахождение электростанции,,,,,,,11.0920005,
660,Энергокомплекс- АТК Румянцево, Газопоршневая электростанция ,12.9,, Москва, указать местонахождение электростанции,,,,,,,11.0920005,
661,"Дизельная электростанция №2 АО ""Салехардэнерго""", Дизельная электростанция ,12.5,, Салехард, Широта: 66.552687 Долгота: 66.581054,,,,,,,10.7480625,
662,Шерловогорская ТЭЦ, Теплоэлектроцентраль ,12.0, 42.30 млн. кВт*ч, Шерловая Гора, Широта: 50.536910 Долгота: 116.315850,99.0, 152.20 тыс. Гкал,,,,,10.31814,8.25
663,ГТУ-ТЭЦ РТС№3 [г. ЗЕЛЕНОГРАД] ОАО МОЭК, Газотурбинная электростанция ,12.0, 70.04 млн. кВт*ч, Москва, указать местонахождение электростанции,22.34,,,,,,10.31814,1.8616666666666666
664,Мурманская ТЭЦ, Теплоэлектроцентраль ,12.0, 17.03 млн. кВт*ч, Мурманск, Широта: 68.958056 Долгота: 33.059167,1122.0, 2 059.70 тыс. Гкал, 16.20 %," Мурманск, ул. Шмидта, 14",,,10.31814,93.5
665,Читинская ТЭЦ-2, Теплоэлектроцентраль ,12.0, 69.10 млн. кВт*ч, Чита, Широта: 52.011732 Долгота: 113.511060,233.0, 527 тыс. Гкал,,,,,10.31814,19.416666666666668
666,ГТУ-ТЭЦ Курьяново ОАО МОЭК, Газотурбинная электростанция ,12.0, 54.46 млн. кВт*ч, Москва, Широта: 55.645853 Долгота: 37.698746,22.4,,,,,,10.31814,1.8666666666666665
667,Паужетская ГеоЭС, Геотермальная электростанция ,12.0,, Петропавловск-Камчатский, Широта: 51.465833 Долгота: 156.810278,,,,,,,10.31814,
668,Верхне-Мутновская ГеоЭС, Геотермальная электростанция ,12.0,, Петропавловск-Камчатский, Широта: 52.551404 Долгота: 158.237672,,,,,,,10.31814,
669,Сакская ТЭЦ, Теплоэлектроцентраль ,12.0,, Саки, Широта: 45.136304 Долгота: 33.550165,154.5,,," 296500, г. Саки, Евпаторийское шоссе, 1",,,10.31814,12.875
670,Клинцовская ТЭЦ, Теплоэлектроцентраль ,12.0, 17.08 млн. кВт*ч, Клинцы, Широта: 52.750133 Долгота: 32.254594,165.8,,,,,,10.31814,13.816666666666668
671,Ивановская ТЭЦ-1, Теплоэлектроцентраль ,12.0, 56.82 млн. кВт*ч, Иваново, Широта: 57.032505 Долгота: 40.941066,129.4,,,,,,10.31814,10.783333333333333
672,Якутская ТЭЦ, Теплоэлектроцентраль ,12.0, 51.79 млн. кВт*ч, Якутск, Широта: 62.044286 Долгота: 129.763856,567.54, 1 051.30 тыс. Гкал, 52.78 %,, 471.75 г/кВт•ч,,10.31814,47.294999999999995
673,Кисловодская ТЭЦ, Теплоэлектроцентраль ,12.0, 30 млн. кВт*ч, Кисловодск, Широта: 43.908311 Долгота: 42.718221,130.0, 189 тыс. Гкал,,,,,10.31814,10.833333333333334
674,ГТУ-ТЭЦ  Пенягино ОАО МОЭК, Газотурбинная электростанция ,12.0, 64.00 млн. кВт*ч, Москва, указать местонахождение электростанции,22.4,,,,,,10.31814,1.8666666666666665
675,ТИ и ТС Падунского р-на  ТЭЦ 6, Котельная ,12.0, 65.07 млн. кВт*ч, Братск, указать местонахождение электростанции,460.3,,,,,,10.31814,38.358333333333334
676,ГТУ-ТЭЦ Люблино ОАО МОЭК, Газотурбинная электростанция ,12.0, 66.34 млн. кВт*ч, Москва, Широта: 55.675286 Долгота: 37.787103,28.0,,,,,,10.31814,2.3333333333333335
677,ГТУ-ТЭЦ  Переделкино  ОАО МОЭК, Газотурбинная электростанция ,12.0, 41.70 млн. кВт*ч, Москва, указать местонахождение электростанции,22.4,,,,,,10.31814,1.8666666666666665
678,Свистухинская ГЭС Каскада Кубанских ГЭС, Гидроэлектростанция ,11.76,, Ставрополь, Широта: 44.741667 Долгота: 41.901111,,,,,,,10.111777199999999,
679,Иркутская ТЭЦ-3, Теплоэлектроцентраль ,11.7, 0 млн. кВт*ч, Зима, Широта: 53.935185 Долгота: 102.075037,243.0,,,,,,10.060186499999999,20.76923076923077
680,Кайтакоски ГЭС, Гидроэлектростанция ,11.2, 70 млн. кВт*ч, Мурманск, Широта: 68.938611 Долгота: 28.600556,,,," Мурманская обл., Печенгский р-н, п. Раякоски",,,9.630263999999999,
681,Сарапульская ТЭЦ, Теплоэлектроцентраль ,10.7, 68.74 млн. кВт*ч, Сарапул, Широта: 56.449233 Долгота: 53.771400,285.0,,,,,,9.200341499999999,26.63551401869159
682,Кировская ТЭЦ-1, Теплоэлектроцентраль ,10.3, 36.19 млн. кВт*ч, Киров, Широта: 58.621554 Долгота: 49.671614,88.0, 399.80 тыс. Гкал,," Кировская область, г. Киров, ул. Энергетиков, 17",,,8.8564035,8.54368932038835
683,Энергокомплекс - п. Шишкин Лес, Газопоршневая электростанция ,10.0,, Москва, указать местонахождение электростанции,,,,,,,8.59845,
684,ГТУ ТЭЦ Шакша, Газотурбинная электростанция ,10.0, 15.45 млн. кВт*ч, Шакша, Широта: 54.764255 Долгота: 56.245655,16.0,,,,,,8.59845,1.6
685,Плешановская СЭС, Солнечная электростанция ,10.0,, Плешаново, Широта: 52.826521 Долгота: 53.468742,,,,,,,8.59845,
686,Бичурская СЭС, Солнечная электростанция ,10.0,, Улан-Удэ, Широта: 50.626815 Долгота: 107.616577,,,,,,,8.59845,
687,Энергокомплекс - п. Киевский, Газопоршневая электростанция ,10.0,, Москва, указать местонахождение электростанции,,,,,,,8.59845,
688,ГТУ Ишимбай, Газотурбинная электростанция ,10.0, 11.57 млн. кВт*ч, Ишимбай, Широта: 53.437381 Долгота: 56.030531,16.8,,,,,,8.59845,1.6800000000000002
689,Бугульчанская СЭС-2, Солнечная электростанция ,10.0,, Бугульчан, Широта: 52.831395 Долгота: 55.927620,,,,,,,8.59845,
690,Баймакская СЭС, Солнечная электростанция ,10.0,,, указать местонахождение электростанции,,,,,,,8.59845,
691,Грачевская СЭС, Солнечная электростанция ,10.0,, Грачевка, Широта: 52.913768 Долгота: 52.913418,,,,,,,8.59845,
692,Орлов-Гайская СЭС, Солнечная электростанция ,10.0,, Ершов, указать местонахождение электростанции,,,,,,,8.59845,
693,Юлдыбаевская СЭС, Солнечная электростанция ,10.0,,, указать местонахождение электростанции,,,,,,,8.59845,
694,Бурибаевская СЭС, Солнечная электростанция ,10.0,, Бурибай, Широта: 51.950666 Долгота: 58.187928,,,,,,,8.59845,
695,Данковская ТЭЦ, Теплоэлектроцентраль ,10.0, 39.99 млн. кВт*ч, Данков, Широта: 53.256111 Долгота: 39.164167,152.0,,,,,,8.59845,15.2
696,Майкопская ГЭС, Гидроэлектростанция ,9.44, 48.40 млн. кВт*ч, Майкоп, Широта: 44.592035 Долгота: 40.105240,0.0,,,,,,8.1169368,0.0
697,Алексеевская ТЭЦ-3, Теплоэлектроцентраль ,9.0, 0 млн. кВт*ч, Чамзинка, указать местонахождение электростанции,73.0,,,,,,7.738605,8.11111111111111
698,Исянгуловская СЭС, Солнечная электростанция ,9.0,, Исянгулово, Широта: 52.185616 Долгота: 56.638427,,,,,,,7.738605,
699,Чирюртская ГЭС-2, Гидроэлектростанция ,9.0, 42.80 млн. кВт*ч, Кизилюрт, Широта: 43.189744 Долгота: 46.834817,,,,,,,7.738605,
700,Энергокомплекс №1 Ватутинки, Газопоршневая электростанция ,8.6,, Москва, указать местонахождение электростанции,,,,,,,7.394666999999999,
701,Центральные ЭС Камчатскэнерго, Тепловая электростанция ,8.6, 0.27 млн. кВт*ч, Петропавловск-Камчатский, указать местонахождение электростанции,,,,, 385.90 г/кВт•ч,,7.394666999999999,
702,Энергокомплекс №2 Ватутинки, Газопоршневая электростанция ,8.6,, Москва, указать местонахождение электростанции,,,,,,,7.394666999999999,
703,Энергокомплекс - п. Вороново, Газопоршневая электростанция ,8.6,, Москва, указать местонахождение электростанции,,,,,,,7.394666999999999,
704,ГТЭС УРАЛ-4000 [ГТУ Агидель], Теплоэлектроцентраль ,8.0, 19.60 млн. кВт*ч, Агидель, Широта: 55.899276 Долгота: 53.937943,17.0,,,,,,6.87876,2.125
705,Де-Кастринская ТЭЦ, Газопоршневая электростанция ,8.0,, п. Де-Кастри, Широта: 51.468960 Долгота: 140.774147,,,," 682429, Хабаровский край, Ульчский район, п. Де-Кастри, ул. Советская 3Б",,,6.87876,
706,Дзау ГЭС, Гидроэлектростанция ,8.0,, Владикавказ, Широта: 43.009950 Долгота: 44.686100,,,,,,,6.87876,
707,ВДК В ПОС. УСТЬ-КАМЧАТСК, Ветро-дизельный комплекс ,8.0,, Усть-Камчатск, указать местонахождение электростанции,,,," поселок Усть-Камчатск, Камчатский край",,,6.87876,
708,ТЭЦ-Северная, Газопоршневая электростанция ,8.0,, Астрахань, Широта: 46.425288 Долгота: 47.974371,51.59,,,,,,6.87876,6.44875
709,СЭС Родниковое, Солнечная электростанция ,7.5,,, Широта: 45.038111 Долгота: 33.931189,,,,,,,6.4488375,
710,Иркутская ТЭЦ-12, Теплоэлектроцентраль ,7.5, 29.36 млн. кВт*ч, Черемхово, Широта: 53.123959 Долгота: 103.132573,223.4,,,,,,6.4488375,29.78666666666667
711,Депутатская ТЭЦ, Теплоэлектроцентраль ,7.5, 8.10 млн. кВт*ч, п. Депутатский, Широта: 69.305077 Долгота: 139.974521,76.4, 69 тыс. Гкал, 28 %, п. Депутатский, 697 г/кВт•ч,,6.4488375,10.186666666666667
712,ГТЭС Западно-Полуденного месторождения, Газотурбинная электростанция ,7.5,, Нижневартовск, Широта: 60.553128 Долгота: 76.483866,,,,,,,6.4488375,
713,Верхотурская ГЭС, Гидроэлектростанция ,7.0, 32 млн. кВт*ч, Верхотурье, Широта: 58.853245 Долгота: 60.755162,,,,,,,6.018915,
714,Энергокомплекс - п. Мосрентген, Газопоршневая электростанция ,6.7,, Москва, указать местонахождение электростанции,,,,,,,5.7609615,
715,Владимирская ТЭЦ-2 [котельная], Котельная ,6.0,, Владимир, Широта: 56.144778 Долгота: 40.454611,116.0,,,,,,5.15907,19.333333333333332
716,Абаканская СЭС, Солнечная электростанция ,5.2,, Абакан, Широта: 53.724259 Долгота: 91.355999,,,,,,,4.471194,
717,Ушаковская ВЭС (ВЭС Зеленоградская), Ветряная электростанция ,5.1,, Куликово, Широта: 54.933861 Долгота: 20.350113,,,," 236006 г. Калининград, ул. Правая Набережная, 10а.",,,4.385209499999999,
718,Онгудайская СЭС, Солнечная электростанция ,5.0,, Онгудай, Широта: 50.729991 Долгота: 86.163797,,,,,,,4.299225,
719,Кош-Агачская СЭС-2, Солнечная электростанция ,5.0,, Кош-Агач, Широта: 50.021307 Долгота: 88.699966,,,,,,,4.299225,
720,Акъярская СЭС, Солнечная электростанция ,5.0,,, указать местонахождение электростанции,,,,,,,4.299225,
721,Державинская СЭС, Солнечная электростанция ,5.0,,, указать местонахождение электростанции,,,,,,,4.299225,
722,Усть-Канская СЭС, Солнечная электростанция ,5.0,, Усть-Кан, Широта: 50.962319 Долгота: 84.792781,,,,,,,4.299225,
723,Матраевская СЭС, Солнечная электростанция ,5.0,,, указать местонахождение электростанции,,,,,,,4.299225,
724,Переволоцкая СЭС, Солнечная электростанция ,5.0,, Переволоцкий, Широта: 51.889312 Долгота: 54.155645,,,,,,,4.299225,
725,Первомайская СЭС, Солнечная электростанция ,5.0,, Первомайский (Оренбургская область), Широта: 51.515526 Долгота: 55.018501,,,,,,,4.299225,
726,Бугульчанская СЭС, Солнечная электростанция ,5.0,, Бугульчан, Широта: 52.825172 Долгота: 55.918007,,,,,,,4.299225,
727,Кош-Агачская СЭС-1, Солнечная электростанция ,5.0,, Кош-Агач, Широта: 50.021252 Долгота: 88.695545,,,,,,,4.299225,
728,Новиковская ДЭС, Тепловая электростанция ,4.8, 2.26 млн. кВт*ч, Новиково, Широта: 46.367957 Долгота: 143.352957,,, 7.76 %,, 338.13 г/кВт•ч,,4.127256,
729,Барсучковская МГЭС, Малая гидроэлектростанция ,4.8,, Невинномысск, указать местонахождение электростанции,,,,,,,4.127256,
730,Курская ТЭЦ-4, Теплоэлектроцентраль ,4.8, 30.64 млн. кВт*ч, Курск, Широта: 51.730752 Долгота: 36.198489,395.0,,,,,,4.127256,82.29166666666667
731,МГЭС Ляскеля, Малая гидроэлектростанция ,4.8, 25.85 млн. кВт*ч, Ляскеля, Широта: 61.761729 Долгота: 31.002452,,,,,,,4.127256,
732,МГЭС Усть-Джегутинская, Малая гидроэлектростанция ,4.7,, Усть-Джегута, указать местонахождение электростанции,,,,,,,4.0412715,
733,Вышневолоцкая ТЭЦ, Теплоэлектроцентраль ,4.0, 12.84 млн. кВт*ч, Вышний Волочёк, Широта: 57.606389 Долгота: 34.563333,124.0,,,,,,3.43938,31.0
734,ГТУ Шигили, Газотурбинная электростанция ,4.0, 2.47 млн. кВт*ч, Большеустьикинское, Широта: 55.940837 Долгота: 58.273201,8.2,,,,,,3.43938,2.05
735,Кузнецкая ТЭЦ-3, Теплоэлектроцентраль ,4.0, 19.94 млн. кВт*ч, Кузнецк, Широта: 53.116587 Долгота: 46.599957,200.0,,," 73, ул. Сызранская, г. Кузнецк, Пензенская обл., Россия 442530",,,3.43938,50.0
736,Новотроицкая ГЭС Каскада Кубанских ГЭС, Гидроэлектростанция ,3.68,, Изобильный, Широта: 45.315556 Долгота: 41.531111,,,,,,,3.1642296,
737,"Мини-ТЭЦ ""Северная"" (о.Русский)", Теплоэлектроцентраль ,3.6,, Владивосток, Широта: 43.053807 Долгота: 131.886800,10.83,,,,,,3.095442,3.0083333333333333
738,МГЭС Егорлыкская-3, Малая гидроэлектростанция ,3.5,, Егорлыкская, указать местонахождение электростанции,,,,,,,3.0094575,
739,МГЭС-3 на канале Баксан-Малка, Малая гидроэлектростанция ,3.5,, Владикавказ, указать местонахождение электростанции,,,,,,,3.0094575,
740,Мини ТЭЦ Измайлово ОАО МОЭК, Теплоэлектроцентраль ,3.0, 8.57 млн. кВт*ч, Москва, указать местонахождение электростанции,7.59,,,,,,2.579535,2.53
741,Павлодольская ГЭС, Гидроэлектростанция ,2.62,, Владикавказ, Широта: 43.708455 Долгота: 44.517579,,,,,,,2.2527939,
742,"ВЭС ""Тюпкильды""", Ветряная электростанция ,2.2, 0.90 млн. кВт*ч, Тюпкильды, Широта: 54.576689 Долгота: 54.248343,0.0,,,,,,1.891659,0.0
743,ГПА АССЫ, Газопоршневая электростанция ,2.06, 11.43 млн. кВт*ч, Белорецк, указать местонахождение электростанции,2.26, 7.82 тыс. Гкал,,,, 163.20 кг/Гкал,1.7712807,1.0970873786407767
744,Сызранская ГЭС, Гидроэлектростанция ,2.04, 5.50 млн. кВт*ч, Сызрань, Широта: 53.148443 Долгота: 48.429687,,,,,,,1.7540837999999999,
745,ДЭС о.Валаам, Дизельная электростанция ,2.0, 4.67 млн. кВт*ч, Кондопога, Широта: 61.395000 Долгота: 30.948333,,,,,,,1.71969,
746,Толмачевская ГЭС-1, Гидроэлектростанция ,2.0, 8.10 млн. кВт*ч, Петропавловск-Камчатский, Широта: 52.613674 Долгота: 157.574598,,,,,,,1.71969,
747,ГЭС-1 Каскада ГЭС на реке Толмачёва, Гидроэлектростанция ,2.0,, Петропавловск-Камчатский, Широта: 52.776944 Долгота: 157.573889,,,,,,,1.71969,
748,ГПА Красноусольск, Газопоршневая электростанция ,1.95, 7.57 млн. кВт*ч, Красноусольск, Широта: 53.919656 Долгота: 56.522448,2.26,,,,, 148.80 кг/Гкал,1.67669775,1.1589743589743589
749,ГПА Янгантау, Газопоршневая электростанция ,1.9, 1.50 млн. кВт*ч, Янгантау, указать местонахождение электростанции,2.2,,,,,,1.6337054999999998,1.1578947368421053
750,Ахтынская МГЭС, Малая гидроэлектростанция ,1.8,, Махачкала, Широта: 41.777756 Долгота: 48.293206,,,,,,,1.547721,
751,Озерновская ДЭС, Дизельная электростанция ,1.57,, Петропавловск-Камчатский, Широта: 51.491389 Долгота: 156.506389,,,,,,,1.34995665,
752,Шиназская МГЭС, Малая гидроэлектростанция ,1.4,, Махачкала, указать местонахождение электростанции,,,,,,,1.2037829999999998,
753,Аракульская МГЭС , Малая гидроэлектростанция ,1.4,, Махачкала, указать местонахождение электростанции,,,,,,,1.2037829999999998,
754,МГЭС Б.Зеленчук, Малая гидроэлектростанция ,1.2,, Ставрополь, указать местонахождение электростанции,,,,,,,1.031814,
755,Магинская МГЭС, Малая гидроэлектростанция ,1.2,, Махачкала, указать местонахождение электростанции,,,,,,,1.031814,
756,СЭС Батагай, Солнечная электростанция ,1.0,,, Широта: 67.665780 Долгота: 134.657278,,,,,,,0.859845,
757,Амсарская МГЭС, Малая гидроэлектростанция ,1.0,, Махачкала, указать местонахождение электростанции,,,,,,,0.859845,
758,Акбашская МГЭС, Малая гидроэлектростанция ,1.0,, Владикавказ, указать местонахождение электростанции,,,,,,,0.859845,
759,МГЭС Бекешевская, Малая гидроэлектростанция ,1.0,, Бекешевская, указать местонахождение электростанции,,,,,,,0.859845,
760,МГЭС Каллиокоски, Малая гидроэлектростанция ,0.98,,, указать местонахождение электростанции,,,,,,,0.8426481,
761,ГПА Юматово, Газопоршневая электростанция ,0.97, 4.80 млн. кВт*ч, Юматово, Широта: 54.617686 Долгота: 55.635195,1.12,,,,, 156.50 кг/Гкал,0.83404965,1.154639175257732
762,Мухольская МГЭС, Малая гидроэлектростанция ,0.9,, Владикавказ, Широта: 43.116488 Долгота: 43.437291,,,,,,,0.7738605,
763,ВДК В ПОС. НИКОЛЬСКОЕ, Ветро-дизельный комплекс ,0.88,, Никольское, указать местонахождение электростанции,,,," Камчатский край, о.Беринга",,,0.7566636,
764,МГЭС Рюмякоски, Малая гидроэлектростанция ,0.63,,, указать местонахождение электростанции,,,,,,,0.54170235,
765,Ургальская котельная Биробиджанской ТЭЦ, Котельная ,0.63,, Биробиджан, указать местонахождение электростанции,70.2,,,,,,0.54170235,111.42857142857143
766,Джазаторская ГЭС, Гидроэлектростанция ,0.63,, Беляши, Широта: 49.689549 Долгота: 87.525235,,,,,,,0.54170235,
767,Агульская МГЭС, Малая гидроэлектростанция ,0.6,, Махачкала, указать местонахождение электростанции,,,,,,,0.515907,
768,Кора-Урсдонская МГЭС, Малая гидроэлектростанция ,0.6,, Владикавказ, указать местонахождение электростанции,,,,,,,0.515907,
769,Беканская МГЭС, Малая гидроэлектростанция ,0.5,, Владикавказ, указать местонахождение электростанции,,,,,,,0.4299225,
770,Курушская МГЭС, Малая гидроэлектростанция ,0.5,, Махачкала, Широта: 42.455436 Долгота: 47.032578,,,,,,,0.4299225,
771,ВЭС в селе Новиково, Ветряная электростанция ,0.45,, Новиково, Широта: 46.367957 Долгота: 143.352957,,,,,,,0.38693025,
772,"Дизельная электростанция п. Пельвож АО ""Салехардэнерго""", Дизельная электростанция ,0.36,, Салехард, Широта: 66.235816 Долгота: 66.623154,,,,,,,0.3095442,
773,ВЭУ В Г. ЛАБЫТНАНГИ, Ветряная электростанция ,0.25,, Лабытнанги, указать местонахождение электростанции,,,, Лабытнанги,,,0.21496125,
774,Хоробровская МГЭС, Малая гидроэлектростанция ,0.16,, Переславль-Залесский, Широта: 56.875755 Долгота: 38.244065,,,,,,,0.1375752,
775,Котельные БАШРТС, Котельная ,0.0,, Нефтекамск, Широта: 56.104407 Долгота: 54.244309,4941.06,,,,,,0.0,inf
776,ЦРГК Центрального р-на ТИ и ТС ТЭЦ-6, Котельная ,0.0,,, указать местонахождение электростанции,402.0,,,,,,0.0,inf
777,Железногорская ТЭЦ, Теплоэлектроцентраль ,0.0,, Сосновоборск, Широта: 56.133271 Долгота: 93.387051,190.0,,,,,,0.0,inf
778,Территориальное управление по теплоснабжению Тольятти, Котельная ,0.0,, Тольятти, указать местонахождение электростанции,528.0,,,,,,0.0,inf
779,Тимлюйская ТЭЦ, Котельная ,0.0,, Каменск, указать местонахождение электростанции,59.6, 74.90 тыс. Гкал,,,,,0.0,inf
780,Биробиджанская ТЭЦ, Котельная ,0.0,, Биробиджан, Широта: 48.800000 Долгота: 132.910556,338.0,,,,,,0.0,inf
781,Владивостокские ТС, Котельная ,0.0,, Владивосток, указать местонахождение электростанции,1010.0,,,,,,0.0,inf
782,Центральные ЭС [Магаданэнерго], Котельная ,0.0,, Магадан, указать местонахождение электростанции,15.5, 6.96 тыс. Гкал,,,,,0.0,inf
783,Улан-Удэнский энергетический комплекс, Котельная ,0.0,, Улан-Удэ, указать местонахождение электростанции,366.0, 414.80 тыс. Гкал,,,,,0.0,inf
784,Коммунтеплоэнерго [г. Липецк], Котельная ,0.0,, Липецк, указать местонахождение электростанции,245.9,,,,,,0.0,inf
785,Предприятия РТС. КТС и МК ОАО МОЭК, Котельная ,0.0,, Москва, указать местонахождение электростанции,16546.37,,,,,,0.0,inf
786,Котельная Шадринская, Котельная ,0.0,, Шадринск, Широта: 56.080798 Долгота: 63.659364,260.0,,,,,,0.0,inf
787,Хабаровская ТЭЦ-2, Котельная ,0.0,, Хабаровск, Широта: 48.494814 Долгота: 135.036800,610.0,,,,,,0.0,inf
788,Калининградская ТЭЦ-1, Котельная ,0.0, 51.44 млн. кВт*ч, Калининград, Широта: 54.709722 Долгота: 20.483889,404.0,,,,,,0.0,inf
789,Локальные котельные, Котельная ,0.0,, Новосибирск, Широта: 54.944126 Долгота: 82.848990,1063.13,,,,,,0.0,inf
790,Елабужская ТЭЦ, Котельная ,0.0,, Елабуга, Широта: 55.834722 Долгота: 52.073611,420.0,,,,,,0.0,inf
791,Смоленская АЭС-2, Атомная электростанция ,0.0,, Десногорск, указать местонахождение электростанции,0.0,,,,,,0.0,
792,Ивановская ГРЭС, Котельная ,0.0, 3.32 млн. кВт*ч, Комсомольск, Широта: 57.025224 Долгота: 40.384111,64.3,,,,,,0.0,inf
793,Курская АЭС-2, Атомная электростанция ,0.0,, Курчатов, Широта: 51.689556 Долгота: 35.574611,0.0,,,,,,0.0,
